Product,Price
"Mufa RJ11 pentru cablu telefon, 6 pini 4 contacte, RJ11",0.19
"Mufa receptor telefon, 4 pini, 4 contacte, RJ10",0.19
"Mufa RJ45 UTP/ FTP cu 8 pini 8P8C, CAT5E, TEL0004A",0.20
Manson de protectie pentru mufa RJ-45 FTP/UTP BT5GY,0.22
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, albastru, Logilink MP0008",0.25
"Manson Mufa RJ45 pentru cablu UTP, FTP si SFTP, BT5WH",0.26
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, rosu, Logilink MP0010",0.27
"Manson Mufa RJ45 pentru cablu UTP, LOGILINK MP0006",0.27
Mufa UTP 8p8c Cat6E,0.28
"Mufa RJ45 UTP / FTP, 8 pini, cu ecranaj metalic, CAT5E, TEL0005A",0.38
"Mufa RCA TATA rapida cu insurubare, WTY0640",0.42
"Mufa alimentare camera TATA cu surub, DCM",0.46
"Mufa F pentru BNC cu filet RG6U, WTY0455",0.50
"Mufa BNC Tata - BNC Tata, BNCM-M",0.52
"Mufa RCA Tata - BNC Mama, BNCF-RCAM",0.53
"Adaptor BNC Mama – Mama, BNCF-F",0.60
Conector neecranat Pass Through RJ45 CAT5E TEL0071,0.63
"Mufa RJ45, 8 pini, CAT 6E, UTP/FTP, ecranaj metalic, PLUG6SP",0.72
"Mufa DCF pentru alimentare camera Mama cu surub, DCF",0.79
"Conector neecranat Pass Through RJ45 CAT 6E, TEL0072",0.79
Adaptor F Mama / F mama Cupru,0.84
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP MP0035G",0.84
"Conector BNC M coaxial RG6, BNC-W/55",0.85
"Mufa BNC tata RCA tata, B15",0.85
"Mufa RJ45, 8 pini, UTP/FTP, ecranaj metalic, Pass Trough, CAT 6, TEL0074",0.85
"Conector ecranat Rj45 CAT5E, RJ45HOLE",0.85
"Mufa BNC Tata RCA Mama, BNCM RCAF",0.88
"Mufa camera BNC Tata F Mama, ZLA 0477",0.95
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP, Cat6, MP0035R",0.95
"Mufa Bnc cu protectie cablu, BNC-SCREW",1.00
"Mufa alimentare tata cu fir DCM-WIRE, DCM-WIRE",1.00
"Mufa BNC Tata sertizabila RG59, WTY0474-2",1.05
"Mufa de alimentare tata cu terminale PUSH – DCM, DCM-PUSH",1.14
"Adaptor pentru cablu coaxial, in forma de T cu 1 mufa F tata la 2 mufe F mama, ZLA0458",1.15
"Mufa BNC M - UTP cu surub, BNCM-D",1.20
"Mufa alimentare mama cu fir DCF-WIRE, DCF-WIRE",1.20
"Conector universal 2 x 0.75-2.5MM, ZLA0950",1.25
"Presetupa PG13.5, 13mm, IP68, gri, Elmark 500135",1.35
"Mufa BNC TATA sertizabila RG6U, WTY0474-3",1.35
Mufa BNC cu surub si protectie cablu,1.37
"Adaptor utp mama-mama pentru mufa RJ45, CAT5, TEL0021-2",1.50
Mufa BNC F la RCA F,1.59
"Mufa BNC Tata 90 de grade, WTY0495",1.70
"Distribuitor alimentare 2 iesiri TATA, C2",1.79
"Mufa de alimentare mama cu terminale, DCF-PUSH",1.90
"Mufa BNC RG59 Compresie, CBN-051 RG59",2.15
"Adaptor F tata - F mama 90 Cupru, ZLA2561",2.35
"Patchcord S/FTP Cat 6A, 0.25M, Gri, SAFER, SFTP6A-0.25M",2.89
"Patchcord S/FTP Cat 6A, 0.25M, Rosu, SAFER, SFTP6A-0.25M-R",2.89
"Patchcord S/FTP Cat 6A, 0.25M, Negru , SFTP6A-0.25M-BL, SAFER",2.89
"Banda izolatoare 19mm, PVC, autostingere, Freder 9-1116",3.00
Stiker Supraveghere video,3.15
"Patchcord S/FTP Cat 6A, 0.5M , Gri, SFTP6A-0.5M, SAFER",3.19
"Banda de izolat ignifuga 20 metri, BANDA20ABS",3.20
"Banda de izolat ignifuga 20 metri alba, BANDA20A",3.20
"Banda de izolat ignifuga 20 metri neagra, BANDA20N",3.20
"Patchcord S/FTP Cat 6A, 0.5M, Negru , SFTP6A-0.5M-BL, SAFER",3.39
"Patchcord SFTP Cat 6A, 0.5M, Rosu, SFTP6A-0.5M-R, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Albastru, SFTP6A-0.5M-B, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Galben , SFTP6A-0.5M-Y, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Verde , SFTP6A-0.5M-G, SAFER",3.39
"Mufa BNC RG6 Compresie, CBN-051 RG6",3.50
"Fasete de prindere, plastic, 2.5 mm x 100 mm, negre, 100 bucati, V-TAC, SKU-11160",3.50
"Doza din plastic pentru economizor, ABK-802+K(G), Yli",3.50
"Conector compact doza Wago 221-613, 3 terminale de 6mm, 450V, 41A",3.60
"Mufa AC TATA, C14, 250V, AC10A, Safer IEC-320C14",4.00
"Patchcord S/FTP Cat 6A, 1 Metru, Gri, SAFER, SFTP6A-1M",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Verde, SFTP6A-1M-G, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Rosu, SFTP6A-1M-R, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Albastru, SFTP6A-1M-B, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Galben, SFTP6A-1M-Y, SAFER",4.29
"Set 100 buc Coliere de plastic de tip Fasete / Soricei, 150x3.5mm, V-Tac, Alb, SKU-11165",4.40
"Fasete de prindere, plastic, 2.5 mm x 200 mm, albe, 100 bucati, V-TAC, SKU-11163",4.40
Surubelnita in cruce scurta cap magnetic 38mm,4.40
"Set 4 suruburi si piulite pentru rack, RACKSCREW4",4.50
"Pat de cablu 16x16mm, 2 metri cu capac",4.50
Mufa METAL RCA TATA,4.71
"Set bride 2.5MM/ 15CM, negru, 100BUC/ set",4.73
Set 10 DCM - Mufe alimentare tata pentru camere supraveghere 10XDCM,4.99
"Videobalun pasiv cu surub compatibil cu sisteme HD, CPB-H202C",5.00
"Adaptor pentru stecher priza Anglia / Romania, ALB, UK/RO-ALB",5.00
"Doza aplicata de exterior IP54 100x100, 5232H",5.25
"Baterii alcaline 1.5V AA-LR6 / BLISTER, 4 baterii in SET, BAT0061B",5.25
Tester tensiune 220-250V (140mm),5.25
"Cablu 4 iesiri alimentare TATA, C4",5.29
"Patchcord, Cat6, cupru-aluminiu, 1 m, negru, AWG24, LogiLink, CP2033U",5.30
"Surubelnita cu maner din cauciuc si varf magnetic, Chrome Vanadiu PZ0X75MM 10490",5.50
"Patchcord retea, CAT6, 1M, Gri, Logilink, CP2032U",5.50
"Alimentator camera supraveghere 12V 1A in comutatie, AT 12V1A",5.80
Pachet x10 conectori cu gel pentru conductori curenti slabi Bi-con,5.99
"BRIDE 200 X 2,5 MM ALBE (100 BUC/SET)",5.99
"Fasete de prindere, plastic, 2.5 mm x 200 mm, negre, 100 bucati, V-TAC, SKU-11164",6.00
"Doza legatura PT Gewiss GW44003, cu presetupe, 80x80x40mm, IP44",6.00
"Stecher portabil Gewiss GW28011, 2P+E 10/16A, 250Vca, standard german/francez, alb",6.00
Ruleta metalica 2 metri - 13mm,6.40
"Baterie LongLife R3 AAA Blister 4 buc, Philips, PH-R03L4B/10",6.50
"Cablu de alimentare AC pentru surse SMPS, ACC2",6.56
"Cablu splitter alimentare 5 iesiri TATA, C5",6.90
"Patchcord S/FTP Cat 6A, 2 Metri, Verde , SFTP6A-2M-G, SAFER",6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Galben , SFTP6A-2M-Y, SAFER",6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Rosu , SFTP6A-2M-R, SAFER",6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Gri, SFTP6A-2M, SAFER",6.99
"Doza derivatie 100 x 100 x 50 mm Gewiss, DOZAGEWISS",6.99
"Microfon supraveghere video pe fir, JS-601",7.30
Doza de exterior dedicata CCTV 118x118x55 Cambox Lotus(White),7.40
Doza dedicata CCTV rotunda 140mm x 113mm x 45mm Cambox MONO JB311(W),7.40
"Cleste pentru sertizat cabluri de retea in priza sau patchpanel, KRONE ISDN-0018",7.50
"Alimentator camera supraveghere 12V 2A in comutatie, AT 12V2A",7.80
"BRIDE 200 X 3,6 MM ALBE (100 BUC/SET)",7.88
"Set 10 mufe alimentare, Mama cu surub, MUFA DCF",7.99
"Cablu alimentare calculator, UPS, monitor, sursa, lungime 1.2M, CABALIM1M",8.00
"Set videobalun 4K - 8MP AHD/CVI/TVI CLICK, SAF-UTP101P-HD6",8.00
"Presetupa Dahua, G3/4",8.00
"Cablu HDMI 1.4 19p cu transmisie Internet si video 4K, lungime 1.5m, HDMI-ETHERNET-1.5M",8.00
"Patchcord S/FTP Cat 6A, 3 Metri, Galben, SFTP6A-3M-Y, SAFER",8.30
"Patchcord S/FTP Cat 6A, 3 Metri, Rosu , SFTP6A-3M-R, SAFER",8.30
"Patchcord S/FTP Cat 6A, 3 Metri, Gri , SFTP6A-3M, SAFER",8.30
"Patchcord S/FTP Cat 6A, 3 Metri, Verde, Safer SFTP6A-3M-G",8.30
"Cablu 8 iesiri alimentare TATA, C8",8.40
Doza de exterior dedicata CCTV 118x118x55 Cambox Lotus(Black),8.40
BRIDE 200 X 4 MM ALBE (100 BUC/SET),8.50
Ruleta metalica 3 metri - 16mm,9.00
"Fasete de prindere, plastic, 4.5 mm x 150 mm, negre, 100 bucati, V-TAC, SKU-11172",9.00
"Cutie de jonctiune pentru camere de supraveghere, Dahua, PFA12A",9.00
"Izolator de bucla la masa pentru coaxial HD-TVI/HD-CVI/AHD/Analog CVBS, B1L",9.30
"Alimentator de exterior 12V 2A pentru camere de supraveghere, Safer SAF-ZH-01",9.30
"Surubelnita plata, maner de cauciuc, varf magnetic, 6X150MM",9.35
"Set Videobalun Pasiv, 2 / 4 / 5 MP / 4K, HD-TVI, CVI, AHD, CVBS, cu PoC, Hikvision DS-1H18S/E(C)",9.40
"Patchcord Single Mode 1M SC/UPC-SC/UPC, PC-SC/SC-1",9.44
"Cablu HDMI 1.4 19p ecranat, 1.5m, HDMI-ECRANAT-1.5M",9.50
"Doza cu presetupe si suruburi 110X110X74, CUTIE110X110X74",9.90
Pachet 10 x Mufa camera BNC Tata F Mama,9.99
"Set videobalun 4K - 8MP/5MP AHD/CVI/TVI, SAF-KITBALUN4K",10.00
"Fasete de prindere, plastic, 3.5 mm x 250 mm, negre, 100 bucati, V-TAC, SKU-11169",10.00
"Set Videobaluni 4K Safer, CVI / TVI / AHD / CVBS, pentru cablu CAT 5 / 5E / 6, pana la 400m, SAF-KITBALUN4K-3P",10.00
"Set 100buc bride negre 3,5mm x 300mm",10.50
Surubelnita dreapta 8x200mm cap magnetic,10.90
"Tester de tensiune, 12-250V, 127 mm, EDL8003 Deli",11.00
"Adaptor alimentare DVR/NVR Hikvision, DCF-DIN4",11.00
"Set videobaloon 4K, Dahua, PFM800B-4K",11.00
"Baterie alcalina, 9V, VARTA BLISTER, VAR-4922",12.00
Patchcord retea CAT5 1M Verde SP-PT-CAT5-1M-G,12.00
"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10",12.37
"Patchcord S/FTP Cat 6A, 5 Metri, Albastru , SFTP6A-5M-B, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Negru , SFTP6A-5M-BL, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Rosu , SFTP6A-5M-R, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Galben , SFTP6A-5M-Y, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Gri , SFTP6A-5M, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Verde , SFTP6A-5M-G, SAFER",12.39
Ruleta metalica 5 metri - 25mm,12.50
"Ruleta Rebel, lungime 5m, latime 25mm, RB-1131",14.00
"Cablu camere supraveghere BNC + 1 Alimentare 20 m, 2BNC20",14.28
Set 10 Buc - BNC Tata + F Mama,14.99
"Set 10 bucati conector, 3 fire, 0.08 mm² la 2.5 mm², W-413",15.00
"Banda perforata din otel galvanizat 10 metri, anti-rugina, 12x0.7mm, orificiu de 5mm, 01-671 Adeleq",15.00
"Fasete de prindere, plastic, 4.5 mm x 300 mm, negre, 100 bucati, V-TAC, SKU-11174",15.00
"Protectie supratensiune F TATA F MAMA, ZLA0964",15.50
Card de memorie pentru stocare video Micro SD 32GB Clasa 10 Dahua TF-C100/32GB,16.00
"CARD MicroSD ADATA 32 GB, MicroSDHC clasa 10 AUSDH32GUICL10-RA1",16.00
"Cablu HDMI 1.4 19p ecranat, 5m, HDMI-ETHERNET-5M",16.00
Yala pt usile laterale de rack,16.00
"Incarcator USB 5V 2A, Pentru camere de supraveghere s.a. Gembird EG-UC2A-03-W",16.50
"Baterie Lithium Blister 1 BUC, Philips, PH-CR123A/01B",16.80
"Conector ceramic, 16mm2, 450V, 76A, 2 pini, SIMET SI-CPO-30A-2P",17.00
"Detector tensiune 90-1000V AC, 2x baterii AAA, Rebel MIE-RB-02",17.00
"Cutie plastic cu presetupe, CUTIE180X110X75",17.00
"Memorie USB 2.0 ADATA, 32 GB - AUV240-32G-RBK",17.00
"Sistem de prindere pentru montare DVR/NVR in RACK-urile de tip 19"", Hikvision DS-380/385",17.00
"Card MicroSD, 64GB, Clasa 10, citire 95 Mbps, scriere 38 Mbps, IMOU, MICROSD64-IMOU",17.00
Patchcord retea CAT6 5M Negru PP6U-5M/BK,17.00
Patchcord Single Mode 3M SC/APC-SC/APC,17.30
"Alimentator de exterior 12V 10W pentru camere de supraveghere, Safer SAF-10LW",17.45
"Prelungitor 3 prize, 1.5m, alb, Kemot, URZ3070-1.5",17.85
Patchcord 1M SC-FC simplex singlemode L3213,17.85
Cleste combinat 200mm Deli EDL2008,17.90
Cleste patent cioc lung 200mm Deli EDL2108,17.90
Cleste patent oblic 180mm Deli EDL2207,17.90
"Card MicroSD, 32GB, Clasa 10, citire 95 Mbps, scriere 25 Mbps, IMOU, MICROSD32-IMOU",18.00
"Cablu de alimentare AK-PC-02A, 250V, 10A, 1.5m, negru, cu impamantare",18.00
"Set tuburi termocontractabile, 100 de bucati, lungime 100mm, multicolor, NAR0876",18.00
Cablu adaptor C14 tata - Schuko mama pentru UPS,18.00
"Alimentator de exterior, 2.5 A, capsulat, pentru supraveghere video, PA2W",18.00
Distribuitor alimentare CCTV 8 canale 4A LZ-1,18.00
"Triplu Stecher, 3500W, 16A, protectie copii, 3 prize Schuko, 1 stecher Schuko, Spacer, SPMS-3-WH",18.00
"Cablu video, monitor display port (T) la display port (T), rezolutie 4K, lungime 1.8m, CC-DP2-6",18.80
"Cablu HDMI 1.4 ,19p ecranat, 5 m, HDMI-ECRANAT-5M",19.00
Multimetru Digital universal REBEL MIE-RB-830,19.00
