Product,Price
Baterie LR27 pentru telecomenzi automatizare de poarta motorline,0.50
Baterie CR2016 pentru telecomenzi REBEL EXTREME BAT0194,2.99
"Capac brat bariera compatibil cu bariera Boomx PRO 100, YK-BAR1H/CAP",4.60
"Baterie CR2032 pentru telecomenzi automatizari de porti LIFE DREAM, MULTI 2120, SAFER 2128.",4.99
Distantier cu surub pentru cremaliera metalica CAVRN3,4.99
"Suport fotocelule, incastrabil , LIFE AREC",5.49
"Baterii alcaline 1.5V AA-LR6 / BLISTER, 4 baterii in SET, BAT0061B",5.99
"Baterie CR1220 Phillips, blister 1 bucata",6.99
"Baterie alcalina pentru telecomenzi LIFE, Varta 12V LR23A",6.99
"Baterie CR2016, blister 2 buc, pentru telecomenzi, Varta, BAT0240",7.99
"Baterie Lithiu CR2450 Blister 1 BUC PHILIPS, PH-CR2450-10B",8.99
Cheie/Levier Deblocare RG20815S Pentru Automatizari Comunello RAM,14.99
"Rola de ghidaj superioara pentru sisteme de culisare, din teflon ROLA P",17.99
"Bec 230V galben 25W pentru automatizari de porti, 5RI1980000",18.99
"Suport lateral lampa semnalizare LIFE, ASP",19.99
Capat sina C65,21.99
"Protectie de cauciuc pentru bariera, Lungime 1 metru, King Gates XBA13-1M",22.99
"Telecomanda suplimentara 2 butoane, WBK-400A-2",26.99
"Suport pentru prindere orizontala, compatibil cu KATO 305 RWA 24V-ALB, 4010040B",26.99
"Suport pentru automatizare desfumare KATO 305 RWA 24V-NEGRU, 4010040N",26.99
Opritor mecanic inalt incastrat,29.99
"Opritor aplicat zincat pentru porti batante PICOLO, 380 F/P",29.99
"Set suruburi si saibe pentru montarea cremalierei crm4, 6x25mm, 60 buc/set, 2AS3060000",29.99
"Capat din metal galvanizat pentru sina C65, EC65",29.99
"Carcasa pentru panou reflector, MFSE",32.99
"Capac brat OPTIMO2/OPTIMO 3 SKYLINE, LIFE 5RI2090000",34.99
"Opritor mecanic pentru porti batante Combi Arialdo GRANDE, 380 F/G",34.99
Suport fixare pentru fotocelule VISIO LIFE si control acces WI,34.99
"Cheie deblocare manuala pentru automatizarile LIFE OPTIMO2, OPTIMO3",37.99
"Rola de capat cu protectie din cauciuc, fixare cu surub pentru sina C75, EC75",38.99
"Rola culisanta, profil U, 25-2080U",39.99
"Cremaliera insertie metalica 1m pentru porti culisante, CRM4",39.99
"Rola culisanta, profil V, 25-2080Y",39.99
"Opritor pentru porti culisante, gol de 40mm, GHIDFIX40",39.99
"Opritor pentru porti culisante, gol de 60mm, GHIDFIX60",39.99
"Rola incastrabila profil V Fi80 culisare la sol, culoare neagra",41.99
"Margine cauciucata pentru bratele de bariera, YK-BAR-GAR-bk",43.99
"Cremaliera metalica zincata, lungime 1m, Grosime 10mm, pentru automatizari culisante, CRMACC",45.99
"Piulita piston pentru brat automatizare LINO400 si LINO600, LINO100828",47.99
Telecomanda suplimentara pentru bariera YLI,49.99
"Opritor mecanic cu cauciuc, 382P",54.99
"Bec LED, 24V, E14, 1.5W, 3000K, pentru lampi de automatizare, 5RI2000100",54.99
Capac spate pentru motor brat Optimo Sky Line 5RI3560000,54.99
"Placa de montaj ajustabila, compatibila cu carucioarele din kitul C65H si C65H+, AP60-65",55.99
"Panou reflector pentru bariere, MIRROR-MFE",55.99
"Ghidaj cu rama pentru usi, 30-60mm, pentru podea, VZ-FG01/30-60",56.99
Ghidaj cu rama pentru usi cu grosime pana la 25mm VZ-FG01,56.99
"Suport pentru automatizare desfumare KATO 305 RWA, 4010038B",58.99
"Suport pentru automatizare desfumare KATO 305 RWA 24V-NEGRU, 4010038N",58.99
"Set fotocelule 20m, 12-24V, NO/NC SAF-A20",59.99
"Placa de montaj ajustabila compatibila cu C75, G75-8, AP75",59.99
"Rola incastrabila profil U Fi80 culisare la sol, culoare neagra",59.99
"Rola aplicata profil U Fi80 culisare la sol, culoare neagra",59.99
"Rola aplicata profil V Fi80 culisare la sol, culoare neagra",59.99
"Fotocelule pentru automatizarile Linomatik, ABO-20L",59.99
"Telecomanda automatizare Motorline, FALK 4 canale",63.99
"Encoder pentru automatizari de porti Optimo3, Optimo3UNI si Optimo5, 5RI0950000",63.99
Encoder pentru automatizari de porti Optimo3 si Optimo5 5RI0940000,64.99
"Opritor mecanic pentru automatizare Optimo 3 UNI, Optimo5, LIFE, 5RI2750001",64.99
"Set receptor radio si telecomanda 24V automatizari porti 1 canal, WBK-401-1-24",65.99
"Roata profil V cu suport exterior FI80, 412/80",69.99
Rola incastrabila profil V Fi80 culisare la sol,69.99
"Opritor capat de cursa, optimo2/optimo3 sky, Life, 5RI1730000",69.99
Placa de ghidaj superioara 2 role,69.99
Set telecomanda si receptor radio automatizari porti 1 canal 12V WBK-401-1-12,69.99
"Lampa de semnalizare pentru automatizare de porta Linomatik 230V, V2-14B0008",69.99
Telecomanda automatizare Beninca - Compatibila,72.99
"Maner usa de garaj, dublu",74.99
Opritor zincat pentru sina C65 feronerie autoportanta in consola,76.99
"Prindere brat pentru automatizarile OPTIMO3 / OPTIMO5 de suportul de poarta, Life 5RI1060000",79.99
"Suport pentru stalp compatibil cu automatizarile Life OPTIMO3 si OPTIMO 5, 5RI1040000",79.99
"Telecomanda compatibila Ditec, Nice Flor-s, V2",79.99
"Angrenaj motor Optimo2/Optimo3 Skyline, 5RI1710000",79.99
"Telecomanda 2 butoane LIFE, DREAM",79.99
"Telecomanda cu 2 butoane LIFE DREAM-AZZ, 433.92MHz, compatibila cu toate automatizarile Life",79.99
"Telecomanda Victor 4 taste pentru automatizari de porti Comunello, GVCTR4STN0G00",79.99
"Telecomanda 4 butoane automatizari de porti LIFE, DREAM04",79.99
"Sina U, 2.90 metri aplicata pentru culisare la sol SINAU2.9M",81.99
"Telecomanda cu 4 butoane, 433.92, Tehnologie Rolling Code, compatibila cu automatizarile Linomatik, Lino4RC",82.99
"Rola de sustinere, (21/75) pentru C75 galvanizat",82.99
Rola de sustinere pentru sina C65,84.99
Fotocelule de siguranta pentru automatizarile Linomatik FTG180,87.99
"Opritor capat de cursa inferior, galvanizat HC75",87.99
"Kit panou reflector pentru bariere si carcasa, KITMIRROR-MFE+MFSE",88.99
Antena pentru automatizari de porti LIFE,89.99
Telecomanda 4 butoane KING GATES - STYLO 4K,89.99
"Suport prindere stalp OPTIMO2, 5RI1800000",89.99
"Ghidaj superior 2 role, GS85-2",89.99
"Telecomanda 4 butoane, pentru automatizare de poarta, LINOMATIK LINO4TR",89.99
Lampa semnalizare pentru automatizari de porti LED 230V,89.99
"Receptor radio pentru telecomenzi Linomatik, 433.92 MHZ 12 V/24 V",89.99
"Set radiocomanda cu un receptor si o telecomanda, WBK-401-2-12/24",89.99
"Telecomanda 2 canale, Rolling code, 433.92 Mhz, pentru automatizari Comunello, VICTOR 2 RC, GVCTR2STN0G00",89.99
"Telecomanda pentru automatizari de poarta Life cu 2 taste, MAXI02-BLUE",89.99
Lampa de semnalizare 220V pentru automatizari Life,89.99
Telecomanda pentru automatizari LIFE MAXI02-BROWN,89.99
"Buton aplicabil cu cheie, sistem revenire automata, contact de tip NO si NC, 16A 240V, pentru interior, negru, YKS-803D2",95.99
"Telecomanda cu 3 butoane pentru automatizari, compatibila cu UR01, RC06",99.99
"Telecomanda cu afisaj unidirectional, 4 butoane, 433.92MHz, Rolling Code, pentru automatizarile Linomatik, Lino5TR",99.99
Selector cu cheie LIFE pentru automatizari de porti,99.99
"Set fotocelule LINOMATIK pentru automatizari de porti, P5200",99.99
"Limitator cursa deschidere, STOP",99.99
Telecomanda clona pentru automatizarile LIFE BRAVO2,99.99
"Telecomanda pentru automatizari de poarta Life cu 4 taste, MAXI04-BLUE",99.99
Telecomanda pentru receptorul de 500 Metri 2 canale,99.99
"Telecomanda 2 butoane pentru automatizari Life, FIDO2",99.99
"Set fotocelule compatibile cu automatizarile de porti LINOMATIK, PC02",99.99
"Limitator de cursa electromecanic compatibil cu automatizarile Life ACER, 5RI2480000",99.99
Lampa de semnalizare 24 V pentru automatizari LIFE,99.99
Set fotocelule pasive 12V-24V 20m range orientare 15 grade,99.99
"Piesa de schimb, suport poarta OPTIMO2, 5RI1790000",101.99
"Carcasa pentru motor ACER400 / 600 / 800, 5RI2530000",102.99
"Carcasa de protectie pentru ax melcat al automatizarii OPTIMO2, 5RI1780000",102.99
"Deblocator manual cu cheie pentru OPTIMO 3, OPTIMO5, 5RI0930000",103.99
Set fotocelule King Gates VIKY30,104.99
Lampa semnalizare automatizari King Gates 24V IDEA 24 PLUS,104.99
"Modul de tip Receiver pentru placa de control, 4 canale pe 433 Mhz, pana la 1000 telecomenzi, Rolling code, MR2-K",106.99
"Kit simering pentru automatizarile King Gates Linear, 1722C4",106.99
"Buton aplicabil cu cheie, sistem revenire automata, contact de tip NO si NC, 16A 240V, pentru interior, Alb YKS-803D1-WH",106.99
"Telecomanda automatizare LIFE, FIDO4",109.99
Detectorul cu ultrasunete pentru verificare loc de parcare gol PL-PJ30D,109.99
Deblocator cu cheie pentru motoare Acer LIFE - generatie veche,111.99
Deblocator cu cheie pentru motoare Acer LIFE - generatie noua,111.99
"Transformator monofazat Comunello RG20030X, compatibil cu automatizarile Fort si Condor",112.99
"Suport poarta OPTIMO3/5, 5RI1030000",114.99
"Telecomanda 2 Butoane Beninca TO.GO2VA, frecventa 433,92 Mhz",114.99
Telecomanda 4 butoane automatizari Proteco PTX4P1I,115.99
Telecomanda 4 Butoane Beninca TO.GO4VA,117.99
"Set suporti metalici de fixare pentru automatizarea LINEARK50024, KING GATES 1722C6",118.99
"Carcasa pentru brat de automatizare Optimo 2, 5RI1770000",119.00
"Telecomanda automatizare porta cu 2 butoane, Beninca TO.GO2AK",119.99
"Capac transparent pentru bariera Comunello Limit 500, RG20408T",119.99
"Telecomanda universala pentru automatizari cod saritor sau fix V10 WHY EVO, Rosie, WHYEVOV10-R",119.99
"Sina U , 3 metri aplicata pentru culisare la sol",119.99
Lampa de semnalizare pentru automatizarea de porta Linomatik 12-24V sau 230V FSHALFA24-230,119.99
Telecomanda universala Why Evo pentru automatizari de porti,119.99
"Lampa de avertizare Linomatik 12V AC / 24V DC / 230V AC pentru automatizari porti, FL01",119.99
"Suport pentru brat bariera cu inaltime variabila 78-103cm, din metal, alb, YK-BAR-SB-wh",121.99
Suport brat de bariera fix,125.99
Consola ghidaj superior 4 role GS85-4,126.99
"Releu wireless deschidere automatizare din telefon, Smart Life, Tuya, Rehent, RH-GD03",128.99
Receptor King Gates RXK1,129.00
"Lampa pentru automatizari de porti COMUNELLO, SWIFT 24VDC/230Vac",129.99
"Receptor radio 1 canal - MINI, LIFE SUNR1E",129.99
"Margine cauciuc bariera 8M, SUC1 8M",129.99
"Selector cu cheie pentru automatizari de porti, INDEX, Comunello GINDEXSTN0B00A",129.99
Extensie sina 1M pentru automatizarile de garaj Linomatik,129.99
Lampa automatizare de poarta 24V LIFE SUNLED ITALIA,139.99
"Modul Back-up pentru placa OPTIMO 2 NEW, LIFE AGECH2",139.99
Lampa automatizare de poarta 230V LIFE SUNLED ITALIA,139.99
Angrenaj pinion OPTIMO2 5RI1740000,139.99
"Pinion Life pentru automatizari de poarta Optimo2 si Optimo3 Skyline, 5RI1720000",139.99
Modul incarcare baterie suplimentara King Gates,139.99
Modul incarcare baterie suplimentara OPTIMO 2,139.99
"Detector single, bucla inductiva, pentru prezenta autoturisme la sisteme de parcare, sensibilitate reglabila, ACM705A(24V)",141.99
"Antena Life pentru automatizari de porti, Life, SKANT",144.99
Modul de backup pentru bariere Life Supra AGECH XL,144.99
"Sistem de transmisie curea, compatibil cu automatizarile Life PROBO PR120 XL si PR100 XL, 5RI1630000",145.99
"Pinion de interior pentru automatizare poarta culisanta Life ACER 400 si Acer 600, 5RI2600000",148.99
"Encoder dublu pentru automatizarea de garaj Life VIS, 5RI3010000",149.99
"Fotocelule pentru automatizari de porti, DART-SLIM, Comunello",149.99
Receptor radio 2 canale FREDDY2 de la KING GATES,149.99
"Protectie usa pietonala, Linomatik, Lino 1SDPROT",149.99
"Fotocelule pentru automatizari de porti, DART-SLIM, Silver, Comunello",149.99
"Receptor telecomenzi Linomatik, un canal, 433.92Mhz",149.99
"Protectie usa pietonala, Linomatik, Lino 2SDPROT",149.99
"Pinion OPTIMO3/OPTIMO5, 5RI0920000",153.99
"Capac imbinare pentru brat bariera KING GATES NUUR4, KG163681",154.99
Ax melcat OPTIMO 3 SKYLINE,158.99
Set 4 cremaliere insertie metalica,158.99
"Telecomanda cu agatatoare pentru parasolar, 2 butoane, Tehnologie Rolling Code, 433.92MHz, Linomatik Lino2SUN",159.99
"Extensie sina pentru automatizarea PROBO PR120 XL, Life PRC12",159.99
"Set fotocelule VISIO LIFE, VISIO",159.99
"Telecomanda cu agatatoare pentru parasolar, 3 butoane, 433.92MHz, Tehnologie Rolling Code, Linomatik Lino1SUN",160.99
"Modul Wi-Fi universal cu USB, pentru automatizari de usi de garaj, Linomatik, Lino WIFI",164.99
"Deblocator pentru automatizarea batanta Life Armor, 5RI1360000",165.99
"Buton wireless, 433.92 MHz, Tehnologie Rolling Code, Linomatik Lino WS02",167.99
"Set fotocelule Activa + Pasiva (oglinda), MFE",169.99
"Sina V, 3 metri, aplicata, culisare la sol",169.99
"Receiver Radio 2 canale, Comunello",169.99
"Suport modular life-stalp, AOP1",174.99
"Tastatura wireless pentru automatizarile Linomatik 433.92Mhz, WK02",179.99
"Buton wireless, 433.92 MHz, Rolling Code, Linomatik Lino WS03",179.99
"Piston scurt pentru automatizari de poarta batante King Gates, SPAMG208A00A",189.99
Piston de schimb 1722B9 pentru LINEARK40024,189.99
"Pinion pentru automatizarea de poarta culisanta Life ACER 400, 5RI2560000",189.99
"Motor Optimo2, 5RI1700000",193.99
"Deblocator pentru automatizarile de porti batante Life Ergo, AMA2",199.00
"Brat anterior automatizare Minimodus, KG172988",199.99
"Carucior in 5 role, pentru feronerie, poarta autoportanta in consola, G65-5",199.99
MARGINE CAUCIUC BARIERA 10M,199.99
"Fotocelule de siguranta cu baterii, reglabile, Comunello DART-BATTERY",199.99
"Arbore angrenaj intern pentru automatizarile de porti culisante Life Acer, 5RI2570000",199.99
"Suport ajustabil pentru porti batante Life, AOP2",203.99
Senzor de miscare cu microunde negru VZ-MS01-B,207.99
Receptor radio extern Life 1 canal,209.99
"Transformator pentru automatizari Comunello FORT si CONDOR, 50VA, RG20049X",209.99
"Receptor multi-frecventa, 2 canale, fix sau saritor, pentru automatizari de porti WHY-RX2",219.99
"Grup de pinioane compatibile cu automatizarea de poarta batanta Life Armor, 5RI1370000",219.99
"Ax compatibil cu Optimo 3 UNI si Optimo 5, Life 5RI0990000",222.99
"Curea de schimb pentru automatizarile de usi de garaj ELEVOKIT620 si ELEVOKIT1000, KING GATES 1725D3",229.99
"Angrenaj de tractiune pentru automatizarea KING GATES ROLLSK1200.02, KG172585",229.99
Receptor radio extern pentru automatizari 2 canale LIFE,229.99
"Suport fixare usa din sticla pentru automatizare usa glisanta, aluminiu",233.99
Baterie suplimentara pentru KING GATES,234.99
"Receptor radio cu 2 canale, compatibil cu barierele Life, Fast R2",239.99
"Transformator motorizare, compatibil cu automatizarile de porti Life, 5RI1890000",239.99
"Brat cu cremaliera Comunello A350 MECH, compatibil cu automatizarile AIRWIN, 350mm, MA00MC35N0G00",239.99
"Pinion de exterior pentru automatizare poarta culisanta Life ACER 400, 600, 800,1200, 5RI2550000",242.99
Selector (Control acces) wireless cu cod pentru automatizari LIFE,244.99
Detector de bucla inductiva 1 Bucla,249.99
"Transformator de curent compatibil cu automatizarile LIFE ACER, 5RI2730000",249.99
Modul de sincronizare automatizare culisanta King Gates KG161216,249.99
Encoder Life pentru automatizari Acer 5RI2330000,249.99
"Detector de bucla inductiva cu un canal si doua relee, YK-BAR-IND1(V2)",252.99
Suport mobil de brat pentru bariere,254.99
"Carcasa pentru automatizarea de poarta batanta KING GATES MINIMODUS, 172991",259.99
"Carucior in 5 role pentru feronerie, poarta autoportanta in consola, 600kg, G75-5",259.99
"Automatizare ventilatie, cu lant, pentru geamuri batante, Comunello Smart 20, 230V, Forta de impingere 200N, Alba, MSMART20 H0W01",259.99
Yala verticala aplicata si cilindru pentru porti batante VIRO-V06,260.99
"Transformator pentru automatizari Life Optimo2, 24V, 5RI2150100",269.99
Suport mobil brat de bariera LIFE SUD2,269.99
"Automatizare ventilatie, cu lant, pentru geamuri batante, Comunello Smart 20, 230V, Forta de impingere 200N, Gri, MSMART20 H0G01",269.99
"AF 960 Unitate de control pentru 2 automatizari instalate pe acelasi geam, Comunello MP00E003H0000",272.99
"Piesa de schimb transformator OPTIMO2, 5RI2150000",273.99
"Brat cu cremaliera Comunello A550 MECH, compatibil cu automatizarea AIRWIN A65 24V, 550mm, MA00MC55N0G00",278.99
"Deblocator pentru automatizarile de garaj Life PROBO, 5RI1610000",279.99
"MCU Unitate de control pentru 1 motor, fara receiver, compatibila cu Comunello MOWIN, MX00AU03H0W00",285.99
"Automatizare ventilatie, cu lant, pentru geamuri batante, Comunello Smart 20, 24V, 0.9A, Alba, MSMART20 L0W01",289.99
Grup transmisie LINEAR 24 King Gates,291.99
"AF 950 Modul de comanda locala pentru automatizari ferestre Comunello MOWIN, 230V, 5A, IP44, MP00X003H0000",292.99
"Detector dual, bucla inductiva, pentru prezenta autoturisme la sisteme de parcare, sensibilitate reglabila, ACM705B(24V)",293.99
"Automatizare ventilatie, cu lant, pentru geamuri batante, Comunello Smart 20, 230V, Forta de impingere 200N, Neagra, MSMART20 H0B01",298.99
"Ansamblu piston pentru brat automatizare Linomatik 400, LINO-AP",299.99
"Transformator compatibil cu automatizarile de poarta batanta KING GATES LINEAR, 24V, TRA060",299.99
"Angrenaj motor Optimo 3 Sky Line, 5RI3520000",299.99
Radar cu microunde pentru usi,299.99
Set receptor + 2 telecomenzi distanta 500 metri 2 canale ACS-126R,299.99
"Tastatura wireless pentru control acces automatizare, IP54, Comunello TACT RADIO GTACTRADN0B00A",299.99
"Motor de schimb pentru automatizarea Life ARMOR, 5RI1450000",303.99
"Automatizare ventilatie, cu lant, pentru geamuri batante, Comunello Smart 20, 24V, 0.9A, Neagra, MSMART20 L0B01",303.99
"WS Senzor de vant si de soare, transparent, compatibil cu automatizarile Comunello MOWIN, MX00AR02N0T00",309.99
"RS Senzor de ploaie, compatibil cu automatizarile de geam Comunello MOWIN, MX00AR01N0G00",309.99
"RS Senzor de ploaie, transparent, compatibil cu automatizarile de geam Comunello MOWIN, MX00AR01N0T00",309.99
"WS Senzor de vant pentru automatizarea de geam Comunello MOWIN, MX00AR02N0G00",309.99
"Ax melcat cu angrenaj inclus pentru automatizari OPTIMO3, 5RI0900000",309.99
"Arc de echilibrare pentru barierele LIFE de 3 metri si 4 metri, SUM1",313.99
Tastatura de programare aplicata,316.99
Selector functii rotativ pentru automatizari glisante Ditec COM501MHS,323.99
"Deblocator pentru deschidere din aluminiu, cu cheie, compatibil cu Dynamos 24/1000, King Gates, 172397",324.99
"Brat cu cremaliera Comunello A750 MECH, compatibil cu automatizarea AIRWIN A65 230V, 750mm, MA00MC75N0G00",324.99
"Arc pentru bariera Life, LIFE SUM2",329.99
"Ax melcat cu angrenaj inclus, compatibil cu automatizarea de poarta batanta Life OPTIMO5, 5RI09100000",333.99
"Carucior in 8 role pentru feronerie poarta autoportanta in consola 500Kg, G65-8",333.99
Yala aplicata pentru porti batante DS-02,338.99
"Placa de comanda pentru automatizari Comunello Fort CU-24V-1M, GCU00BS1L0G00",340.99
Set transmisie secundar pentru automatizari de porti Life Armor 5RI1380000,341.99
"Transmisie lant pentru deschidere pana la 180°, Life AER1",346.99
"Kit 2 acumulatori pentru automatizari comunello de 24V, 2x12V AC 50, GBATTERYL0G00A",349.99
Unitate de comanda pentru semafor 2 culori MS01-230V Motorline MCS01,349.99
Selector rotativ cu cheie pentru automatizari glisante Ditec COM501MKS,359.99
"Automatizare ventilatie, cu lant, pentru geamuri batante, Comunello Smart 20, 24V, 0.9A, Gri, MSMART20 L0G01",369.99
"Selector de programe cu cheie pentru automatizari, IP44, SPRINT DITEC, COMK",379.99
"Unitate de control Comunello MX00AU09L0W00, pentru automatizarile MOWIN, 24V, Wi-Fi 2.4GHz, control din aplicatie",379.99
"Semafor Verde, 1 lumina LED, 24V, TLHTC1-24-G",389.99
"Semafor Rosu, 1 lumina LED, 24V, TLHTC1-24-R",389.99
"Semafor Galben, 1 lumina LED, 24V, TLHTC1-24-Y",389.99
"Automatizare cu lant pentru geamuri batante, Trape 24V KATO253 24V/Gri",398.99
"Automatizare fereastra de mansarda Comunello, 230V, 200mm, 170W, Gri RAL 7035, MFAST 200",399.99
"Automatizare geam pentru ventilatie, 110/230 V, 250 N, KATO253 230V-GRI",399.99
Placa de montaj pentru bariere Life Supra MB24 SUE1,399.99
"Automatizare cu lant pentru geamuri batante, Trape 24V KATO253 24V/Alb",399.99
"Sina C65 3 metri galvanizata pentru porti autoportante, SINA 3M",399.99
"Automatizare pentru ventilatie, 110/230 V, 250 N, KATO253 230V-NEGRU",399.99
"Releu GSM Wireless pentru deschidere porti, bariere, automatizari sau yale, NC-NO, 2G, 12-24V, Wiegand, PROGATE-2G",399.99
Brat articulat XL pentru motor automatizare batanta SINOU ARMAX XL,399.99
"Grup motor pentru automatizarea de poarta King Gates Dynamos400, KG172382",399.99
"Grup piston filetat compatibil cu automatizarea Comunello RAM 500, RG30970X",399.99
Brat articulat pentru Life Armor 5ri1400000,409.99
"Automatizare cu lant pentru geamuri batante, Trape KATO253 24V/NEGRU Nekos",409.99
"Automatizare cu lant pentru geamuri batante, trape 230V KATO253 230V ALB",409.99
"Brat bariera din aluminiu vopsit, 3metri, YK-BAR1V-3M",419.99
"Carucior cu 8 role pentru feronerie de poarta culisanta autoportanta, Gauri reglabile, 750Kg, G75-8",420.99
"Arc de echilibrare, pentru barierele automate Life, SUM3",429.99
"Semafor Galben, 1 lumina LED, 230V, TLHTC1-220-Y",439.99
"Semafor Rosu, 1 lumina LED, 230V, TLHTC1-220-R",439.99
"Semafor Verde, 1 lumina LED, 230V, TLHTC1-220-G",439.99
"Automatizare pentru deschidere geam Comunello LIWIN L35, cu lant, 350N, 420mm, ML35S140H0G00",439.99
Ansamblu piston 1722B8 pentru automatizarea King Gates LINEAR 500,459.99
Modul control wireless WI-CLAVIS pentru automatizari KING GATES,466.99
"Placa de control pentru automatizare de garaj Life PROBO PR100 XL, 1AH0150000",469.99
"Automatizare ventilatie, cu cremaliera, pentru deschidere geamuri batante, Comunello AIRWIN A45, 24V, 450N, 350mm, MA45S135L0G00",479.99
"Reflector LED 35W, cu panou solar, temperatura 4000K, V-Tac, VT-100W, SKU-8576",499.99
"Placa de comanda pentru motoarele SLIDE6N, SLIDE10N, SLIDE15N, LINOSLIDE-N-BOARD",499.99
Modul programare wireless pentru instalatori KINGKONNECT,499.99
Placa de baza pentru automatizari culisante LINOMATIK K1/ID101,499.99
"Placa de baza pentru Optimo 2/ Armor, New, 24V, Life, 1AH0170000",512.99
"Carcasa brat OPTIMO3, 5RI1010000",512.99
"Placa de comanda compatibila cu bariera SUPRA MB 230V Life, 1AH0260000",512.99
"Placa de control pentru Automatizarile Comunello Fort CU-24V-HP, GCU00HP2L0G00",529.99
"Controler GSM 2G, 2 Relee, pentru deschideri de porti, ESIM320-2GEU",549.99
Radar de prezenta pentru usi glisante DITEC PAS S24,549.99
Gard pentru barierele Life SUD2MG,559.99
"Semafor Rosu-Verde, 2 lumini LED, 24V, TLHTC2-24",559.99
Yala electromagnetica pentru porti culisante Viro V09,559.99
"Placa de control pentru bariere Supra MB 24V, Life, 1AH0250000",579.99
"Automatizare ventilatie, cu cremaliera, pentru deschidere geamuri batante, Comunello AIRWIN A45, 230V, 450N, 350mm, MA45S135H0G00",579.99
"Placa de comanda 230HP pentru automatizarile Fort 230V, Comunello GCU00HP2H0G00",599.99
Centrala de comanda automatizare batanta 230V 2 canate LINO-BOARD,599.99
"Angrenaj reductor compatibil cu barierele LIFE SUPRA, 5RI3140000",599.99
Brat drept automatizare Linomatik Lino400 LINORIGHT400,599.99
Brat automatizare poarta batanta OPTIMO 2 BRAT-OPTIMO2,599.99
Brat stang automatizare Linomatik Lino400 LINOLEFT400,599.99
"Placa de baza automatizare culisanta, LIFE ACER RG1R DL 1AH0160000",599.99
"Sina C75 de 3 metri, Kale SINA C75-3M",609.99
"Automatizare ventilatie, cu cremaliera, pentru deschidere geamuri batante, Comunello AIRWIN A65, 24V, 650N, 550mm, MA65S155L0G00",609.99
"Carcasa pentru automatizare de poarta Life OPTIMO 5, 5RI1020000",612.99
"Centrala de comanda fara cutie, automatizari porti batante - 230V",614.99
"Placa de control pentru automatizari Comunello cu 1 motor de 24V, GQUADST1L0G00 QUAD 24V 1M",619.99
"Brat bariera 4 metri, Comunello LIMIT AC-631 GBRBAR4001W00",634.99
Placa de comanda 220V pentru automatizari King Gates STARG8ACBOX,639.99
Brat bariera 3-5 metri Life,649.99
"Automatizare de usa de garaj 10 Mp, 80 Kg LINOMATIK DOOR6N",649.99
Brat drept automatizare Linomatik LINORIGHT600,649.99
Radar volumetric cu infrarosu Ditec PAS A,649.99
Brat stang automatizare Linomatik LINOLEFT600,649.99
"Placa de comanda pentru automatizarile Proteco, Q80A",659.99
"Brat bariera GLTBAR5001W00 pentru Comunello Limit 500, lungime 5m, protectie cauciuc, benda reflexiva",659.99
"Semafor Rosu - Verde, 2 lumini LED, 230V, TLHTC2-220",659.99
"PLACA DE COMANDA OPTIMO 3-5-SKYLINE-ERGO-SINUO 3-5, CU CUTIE SI TRAF",686.99
