Product,Price
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, albastru, Logilink MP0008","0 , 29 Lei"
"Mufa RJ45 UTP / FTP, 8 pini, cu ecranaj metalic, CAT5E, TEL0005A","0 , 45 Lei"
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP MP0035G","1 , 29 Lei"
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP, Cat6, MP0035R","1 , 29 Lei"
"Distribuitor alimentare 2 iesiri TATA, C2","1 , 80 Lei"
"Patchcord S/FTP Cat 6A, 0.25M, Gri, SAFER, SFTP6A-0.25M","3 , 99 Lei"
"Patchcord S/FTP Cat 6A, 0.25M, Rosu, SAFER, SFTP6A-0.25M-R","3 , 99 Lei"
"Patchcord S/FTP Cat 6A, 0.25M, Negru , SFTP6A-0.25M-BL, SAFER","3 , 99 Lei"
"Patchcord S/FTP Cat 6A, 0.5M , Gri, SFTP6A-0.5M, SAFER","4 , 19 Lei"
"Patchcord S/FTP Cat 6A, 0.5M, Negru , SFTP6A-0.5M-BL, SAFER","4 , 49 Lei"
"Patchcord S/FTP Cat 6A, 0.5M, Albastru, SFTP6A-0.5M-B, SAFER","4 , 49 Lei"
"Patchcord S/FTP Cat 6A, 0.5M, Verde , SFTP6A-0.5M-G, SAFER","4 , 49 Lei"
"Patchcord S/FTP Cat 6A, 1 Metru, Verde, SFTP6A-1M-G, SAFER","5 , 99 Lei"
"Alimentator camera supraveghere 12V 1A in comutatie, AT 12V1A","5 , 99 Lei"
"Patchcord S/FTP Cat 6A, 1 Metru, Albastru, SFTP6A-1M-B, SAFER","5 , 99 Lei"
"Patchcord S/FTP Cat 6A, 1 Metru, Rosu, SFTP6A-1M-R, SAFER","5 , 99 Lei"
"Cablu de alimentare AC pentru surse SMPS, ACC2","6 , 89 Lei"
"Cablu 4 iesiri alimentare TATA, C4","6 , 99 Lei"
"Cleste pentru sertizat cabluri de retea in priza sau patchpanel, KRONE ISDN-0018","7 , 99 Lei"
"Cablu splitter alimentare 5 iesiri TATA, C5","7 , 99 Lei"
"Alimentator camera supraveghere 12V 2A in comutatie, AT 12V2A","7 , 99 Lei"
"Patchcord S/FTP Cat 6A, 2 Metri, Rosu , SFTP6A-2M-R, SAFER","8 , 79 Lei"
"Cablu alimentare calculator, UPS, monitor, sursa, lungime 1.2M, CABALIM1M","8 , 99 Lei"
"Cablu 8 iesiri alimentare TATA, C8","9 , 99 Lei"
"Patchcord S/FTP Cat 6A, 3 Metri, Verde, Safer SFTP6A-3M-G","10 , 99 Lei"
"Adaptor alimentare DVR/NVR Hikvision, DCF-DIN4","12 , 99 Lei"
"Alimentator de exterior 12V 2A pentru camere de supraveghere, Safer SAF-ZH-01","12 , 99 Lei"
"Licenta Imou Protect Basic PLAN LUNAR, PROTECTBASIC1","13 , 99 Lei"
Cupla Krone pentru cablu UTP.FTP CAT5e Gembird,"15 , 99 Lei"
"Patchcord S/FTP Cat 6A, 5 Metri, Albastru , SFTP6A-5M-B, SAFER","16 , 99 Lei"
"Patchcord S/FTP Cat 6A, 5 Metri, Rosu , SFTP6A-5M-R, SAFER","16 , 99 Lei"
"Patchcord S/FTP Cat 6A, 5 Metri, Gri , SFTP6A-5M, SAFER","16 , 99 Lei"
"Incarcator USB 5V 2A, Pentru camere de supraveghere s.a. Gembird EG-UC2A-03-W","17 , 99 Lei"
Card de memorie pentru stocare video Micro SD 32GB Clasa 10 Dahua TF-C100/32GB,"18 , 99 Lei"
"Incarcator USB, 2 porturi, 2.1A, negru, Gembird EG-U2C2A-03-B","18 , 99 Lei"
"Memorie USB 2.0 ADATA, 32 GB - AUV240-32G-RBK","18 , 99 Lei"
"Card MicroSD, 32GB, Clasa 10, citire 95 Mbps, scriere 25 Mbps, IMOU, MICROSD32-IMOU","18 , 99 Lei"
Spliter FTP 1 x R45 Tata la 2 x RJ45 Mama NCA-SP-02,"18 , 99 Lei"
"Alimentator de exterior, 2.5 A, capsulat, pentru supraveghere video, PA2W","19 , 99 Lei"
"Alimentator de exterior 12V 10W pentru camere de supraveghere, Safer SAF-10LW","19 , 99 Lei"
Distribuitor alimentare CCTV 8 canale 4A LZ-1,"19 , 99 Lei"
"Card de memorie pentru stocare video Micro SD 64GB Clasa 10 Dahua, TF-C100/64GB","19 , 99 Lei"
"Card MicroSD, 64GB, Clasa 10, citire 95 Mbps, scriere 38 Mbps, IMOU, MICROSD64-IMOU","19 , 99 Lei"
"CARD MicroSD ADATA 32 GB, MicroSDHC clasa 10 AUSDH32GUICL10-RA1","21 , 99 Lei"
"SD Card 32GB card memorie Kingston Clasa 10, SDCS/32GB","21 , 99 Lei"
"Memorie USB 64Gb, 2.0 ADATA, Stick USB - AUV240-64G-RBK","21 , 99 Lei"
"Alimentator 12V1A Dahua, PFM321D-EN","22 , 99 Lei"
"Patchcord S/FTP Cat 6A, 10 Metri, Rosu , SFTP6A-10M-R, SAFER","23 , 99 Lei"
Alimentator 12V-2Ah pentru exterior watherproof IP66,"23 , 99 Lei"
"Alimentator de exterior 12V 1.25A pentru camere de supraveghere, Safer SAF-15LW","24 , 99 Lei"
"Cleste pentru sertizare cabluri de retea in prize, de tip KRONE, CSKP","24 , 99 Lei"
