Product,Price
Soft pontaj Gratuit CrossChex pentru ANVIZ,"0 , 00 Lei"
"Suport ecuson, deschidere si prindere verticala, 55x90x3.5mm, CH-151V","0 , 99 Lei"
"Cartela de proximitate RFID 125Khz Cprox, ID CARD","1 , 69 Lei"
"Tag de proximitate RFID de tip Breloc cod secvential, IDT-2000EM","1 , 89 Lei"
"Suport ecuson pentru carduri control acces Yli CH-001V, din PVC, prindere verticala, albastru","2 , 19 Lei"
"Cartela electromagnetica duala, RFID si UHF, IDT-1001EM/UHF","2 , 99 Lei"
"Eticheta autoadeziva cu CIP RFID EM4100 pe 125KHz, 0.6mm, alb, IDT-3000EM","3 , 39 Lei"
"Tag de proximitate Mifare, pentru videointerfon, IDT-2000MF","3 , 49 Lei"
Doza pentru montarea ingropata a economizoarelor pentru HLES-30A-TEMIC,"3 , 49 Lei"
"Cartela de proximitate RFID (125KHz) numerotata secvential, ID CARD1","3 , 75 Lei"
"Snur cu port pentru ecuson, retractabil, Negru, CH-425","3 , 79 Lei"
"Cartela de proximitate Mifare 13,56 Mhz, IDT-1001MF","3 , 99 Lei"
"Tag de proximitate cu cip MIFARE (13.56MHz), Hikvision, DS-K7M102-M","3 , 99 Lei"
"Tag de proximitate PROGRAMABIL, RFID 125 Khz, IDT-2000EM-RW","4 , 29 Lei"
"Cartela de proximitate Rosslare ATR14WO-001, pentru cititoare RFID 125KHz","4 , 99 Lei"
"Tag suplimentar pentru kiturile de control acces WS2 si WS2K, WS2(K)Tag","4 , 99 Lei"
"Doza din plastic pentru economizor, ABK-802+K(G), Yli","4 , 99 Lei"
"Tag NFC antimetal cu cip 13.56 MHz, NFC-2013-gy","5 , 19 Lei"
"Cartela de proximitate duala RFID 125Khz si MIFARE 13,56Mhz, IDT-1001EM/MF","5 , 99 Lei"
"Bratara de proximitate din silicon cu catarama 125Khz, verde IDT-4001EM-GN","5 , 99 Lei"
"Bratara de proximitate din silicon, RFID 125Khz, SECUKEY Sbracelet 1 (EM)","5 , 99 Lei"
"Bratara de proximitate din silicon, RFID 125Khz, SECUKEY Sbracelet 1 (EM), Albastra","6 , 19 Lei"
"Cartela interfon Electra, TAG.ELT.000","6 , 29 Lei"
"Bratara de proximitate din silicon, RFID 125Khz, SECUKEY Sbracelet 2 (EM)","6 , 49 Lei"
"Bratara de proximitate din silicon cu catarama 125Khz, Rosie, IDT-4009EM-RD","7 , 49 Lei"
