Product,Price
Stiker Supraveghere video,3.15
"Set 10 mufe alimentare, Mama cu surub, MUFA DCF",7.99
Pachet 10 x Mufa camera BNC Tata F Mama,9.99
Set 10 Buc - BNC Tata + F Mama,14.99
Set mufa RJ45 UTP/ FTP cu 8 pini 100 bucati,19.99
Pachet 50 x Mufa alimentare TATA cu surub,22.99
Pachet 50 x Mufa F,24.99
"Conector rapid cu gel, set 100 bucati",25.99
"Set 100 buc x Mufa RJ45 UTP/ FTP, 8 pini, cu ecranaj metalic TEL0005Ax100",37.99
"Pachet 50 x Mufa 12V alimentare Mama, conectare cu surub",39.99
"Set 100 mufe DCM cu surub, mufa de alimentare tata",45.99
Pachet 50x Mufa camera BNC Tata F Mama,47.99
Pachet 50 x Mufa BNC Tata sertizabila RG59,52.99
Pachet 10 alimentatori 1Ah pentru camere de supraveghere alim1ax10,57.99
Pachet 50 x Mufa BNC M - UTP cu surub,59.99
Set 100 buc conector neecranat Pass Through RJ45 CAT5E,62.99
Set 100 buc conector ecranat Pass Through RJ45 CAT5E,84.99
Pachet 10 bucati X Set videobalun 4K 8MP/5MP AHD/CVI/TVI,99.99
Kit accesorii sisteme de supraveghere 4 camere,181.99
"Kit camera IP cu baterie si Panou solar, Wireless, 2MP 4K, Incarcare solara 3W, card microSD, Imou KIT-B46LPW-SOLAR-SD",320.99
"Kit supraveghere video, DVR cu 1 camera bullet, smart IR 40m, Hikvision SAF-1XFHDIR40",339.99
"Pachet 6 x Camera supraveghere FULL HD, 2.8mm, IR 20 metri, Safer, SAF-DM2MP20F28",359.99
"Kit accesorii sisteme de supraveghere 8 camere, KITACC8-1-1",362.99
"Kit de supraveghere, 4 camere interior Full HD, 2.8mm, IR 20 metri si DVR 4 canale, Dahua KIT-4X-2MPD28IR20",376.99
"Kit de supraveghere video, DVR 4 canale, 4 camere FullHD, IR 20m, Dahua, Safer, KIT-4X-2MP28IR20",376.99
"Camera de supraveghere IP WiFi PT, Full Color, 2K 5MP, card memorie 128GB inclus, Iluminare duala 30m, MicroSD, Dahua SD2A500HB-GN-AW-PV-0400-S2",379.99
"Pachet camera de supraveghere Imou CellGo si panou solar 3W, KIT-IPC-B32P-FSP12",381.99
"Kit de supraveghere pentru exterior, 2 camere de 2MP Full HD, IR 20m, Tehnologie HDCVI, DVR 4 canale, Functii AI, Dahua KITSAF2X-2MP2028U",397.99
"Kit 4 camere de exterior Safer PRO, 5MP si 4 alimentatoare 12V 1A, Safer 4xSAF-PRO5MPx4EU12V",414.99
"Sistem de supraveghere SIMPLU, 4 camere exterior FULL HD, IR 20M, 2.8mm, DVR 4 canale, fara accesorii, KIT-2ESAF2(C)",423.99
"Kit de supraveghere video pentru exterior, 2 camere, 2 MP, IR 80 m, Safer, DVR 4 canale, Hikvision, KITSAF2X-PRO-5MP8036",427.99
"Pack 6 camere Full HD, lentila 2.8 mm, IR 40 metri, Safer SAF-BM2MP40F28",449.99
