Product,Price
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, albastru, Logilink MP0008",0.29
Mufa UTP 8p8c Cat6E,0.30
"Mufa RJ45, 8 pini, CAT 6E, UTP/FTP, ecranaj metalic, PLUG6SP",0.75
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP MP0035G",1.29
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP, Cat6, MP0035R",1.29
"Fibra optica 8 fire Single Mode 1200N cu Gel monotube, SLT-NMA-SJ-8",2.49
"Cablu telefonic spiralat, lungime 2.1m, alb, TEL0032F-2.1",2.99
Fibra optica 8 fire Single Mode F8SM,2.99
Fibra optica 12 fire Single Mode,3.29
"Fibra optica 8 fire Single Mode 1200N cu armatura, SLT-SA-SJ-(GY12)-8",3.45
Fibra optica 4 fire Single Mode 1200N cu armatura,3.59
Fibra optica 4 fire Single Mode 2000N cu sufa FOSM4FSUFA,3.79
Fibra optica 12 fire Single Mode 1200N cu armatura SLT-SA-SJ-(GY12)-12,3.84
"Patchcord S/FTP Cat 6A, 0.25M, Gri, SAFER, SFTP6A-0.25M",3.99
"Patchcord S/FTP Cat 6A, 0.25M, Rosu, SAFER, SFTP6A-0.25M-R",3.99
"Patchcord S/FTP Cat 6A, 0.25M, Negru , SFTP6A-0.25M-BL, SAFER",3.99
Fibra optica 8 fire Single Mode 2000N cu sufa FOSM8FSUFA,4.19
"Patchcord S/FTP Cat 6A, 0.5M , Gri, SFTP6A-0.5M, SAFER",4.19
Fibra optica 24 fire Single Mode 1200N cu Gel monotube,4.39
"Patchcord S/FTP Cat 6A, 0.5M, Negru , SFTP6A-0.5M-BL, SAFER",4.49
"Patchcord SFTP Cat 6A, 0.5M, Rosu, SFTP6A-0.5M-R, SAFER",4.49
"Patchcord S/FTP Cat 6A, 0.5M, Albastru, SFTP6A-0.5M-B, SAFER",4.49
"Patchcord S/FTP Cat 6A, 0.5M, Verde , SFTP6A-0.5M-G, SAFER",4.49
"Patchcord S/FTP Cat 6A, 0.5M, Galben , SFTP6A-0.5M-Y, SAFER",4.49
"Fibra optica 12 fire Single Mode 2000N cu sufa, FOSM12FSUFA",4.49
"Incarcator / Alimentator USB, 5V, 1Ah, 1AHLOAD",4.99
"Fibra optica 8 fire Multimode, 1200 N, ETK F8MM-O3",5.12
"Patchcord, Cat6, cupru-aluminiu, 1 m, negru, AWG24, LogiLink, CP2033U",5.49
Pigtail Single Mode 2M conector SC-APC,5.49
"Patchcord S/FTP Cat 6A, 1 Metru, Gri, SAFER, SFTP6A-1M",5.99
"Set 5 buc baterie alcalina LR27A, 12V, Vipow BAT0068Bx5",5.99
"Patchcord S/FTP Cat 6A, 1 Metru, Verde, SFTP6A-1M-G, SAFER",5.99
"Adaptor pentru stecher priza Anglia la priza din Romania, UK - RO-NEGRU",5.99
"Patchcord retea, CAT6, 1M, Gri, Logilink, CP2032U",5.99
"Patchcord S/FTP Cat 6A, 1 Metru, Albastru, SFTP6A-1M-B, SAFER",5.99
"Patchcord S/FTP Cat 6A, 1 Metru, Galben, SFTP6A-1M-Y, SAFER",5.99
Pigtail Single Mode 1M conector FC,5.99
"Patchcord S/FTP Cat 6A, 1 Metru, Rosu, SFTP6A-1M-R, SAFER",5.99
"Masca pentru RJ45 ET102017 TOOLLESS LINE jack, 1M, alb, Schrack",6.19
"Baterie CR1220 Phillips, blister 1 bucata",6.99
Pigtail Single Mode 1M conector FC/APC,6.99
"Cleste pentru sertizat cabluri de retea in priza sau patchpanel, KRONE ISDN-0018",7.99
"Baterie CR1220, 3V, Lithium, Varta VAR-1220",7.99
"Adaptor HDMI mama la HDMI tata, cu rotire, ZLA0852",7.99
Pigtail Single Mode 1M conector SC,7.99
"Cablu de alimentare si date, 1.8m, negru, SPDC-MICRO-PVC-BK-1.8",7.99
"Adaptor HDMI tata si mama ZLA0666, unghi 90°, negru",7.99
"Patchcord S/FTP Cat 6A, 2 Metri, Verde , SFTP6A-2M-G, SAFER",8.79
"Patchcord S/FTP Cat 6A, 2 Metri, Galben , SFTP6A-2M-Y, SAFER",8.79
"Patchcord S/FTP Cat 6A, 2 Metri, Rosu , SFTP6A-2M-R, SAFER",8.79
