Product,Price
"Eticheta pentru detectori de fum Teknim, TFA-0121",2.49
"Protectie transparenta pentru buton de incendiu, TEKNIM TFA-0165",4.99
"Capac pentru buton de incendiu Inim EC0020 / IC0020, WCP0020",6.99
"Soclu pentru detectori adresabili sau conventionali TEKNIM, TFA-0120",8.99
"Doza de montaj module antiincendiu, Bentel, FC470DGB",10.99
"Baza de montare pentru detectori Inim Enea si Iris, EB0030, 4 intrari, pentru teava de 16 mm",10.99
"Baza pentru detectori adresabili si conventionali Teknim TFA-0120A, culoare antracit",12.99
Soclu pentru detectorii adresabili si conventionali Inim EB0010,13.99
"Rezerva de plastic deformabila, compatibila cu butoanele din seria FC400, FC400RD",13.99
Indicator optic pentru senzori de fum montati in tavan casetat RI31,14.99
"Soclu pentru relee RS/PT5, 24V, terminale cu surub, 14 poli, 10A, Schrack, YRS50004",14.99
"Soclu standard pentru detectorii conventionali Unipos, DB8000",15.19
"Soclu universal pentru senzori FIRECLASS, 5B",15.99
"Soclu izolator standard Fireclass, FC4B",15.99
Soclu detector adresabil Detnov Z-200,15.99
"Capac pentru doza de montaj module centrala de incendiu, FC470CV",16.99
"Baza pentru montaj aparent buton Morley-IAS, culoare rosie - Honeywell PS031W",17.99
Soclu pentru detectori Morley-IAS - Honeywell MI-B501AP-IV,20.99
"Sticla butoane alarmare incendiu, set de 10 buc. Morley-IAS - Honeywell MUS156",23.99
DOZA BUTON ADRESABIL FC420CPB,23.99
"Releu PT 6A 4C 24VDC, Schrack, PT570024",24.99
"Detector gradient de temperatura UNIPOS, FD8020",27.99
"Soclu detectori adresabili Unipos, DB7100",28.99
Buton de incendiu conventional ROSU SIR EM200RS,29.99
"Soclu cu iesire pe releu pentru detector de fum Unipos, DB8000R",34.99
"Adaptor montaj aparent detectoare Morley-IAS, orificiu 22mm, 1 buc, culoare Ivory - Honeywell SMK400EAP-IV",34.99
Indicator acustic pentru senzori montati in tavan Unipos RI31S,34.99
"Indicator LED pentru alarme de incendiu, LED rosu, 10-32VDC, IP30, TEKNIM TFA-1196",34.99
Indicator luminos pentru sisteme adresabile Inim IL0010,35.99
"Baza pentru detectoare wireless Morley-IAS, culoare alb - Honeywell B501RF",36.99
"Baza pentru detectoare wireless Morley-IAS, culoare rosu - Honeywell B501RF-RR",36.99
"Senzor de fum Standalone SD218, baterie 9V",39.99
"Detector de fum optic Unipos, FD8030",39.99
"Detector de prag fix de temperatura, Unipos 8010",39.99
Lampa Emergenta EXIT JOS LED 3W cu acumulator BR-BC14-00753,39.99
Indicator paralel detectoarele Morley-IAS - Honeywell INDICATOR,41.99
"Detector de fum, conventional, optic, TEKNIM, TFD-4230",41.99
"Corp iluminat de urgenta cu LED, 3W, 80lm/160lm, lumina rece (6400K), cu baterie Li-Ion 3,7V, 1000mAh, IP20, 2 pictograme, Vivalux VIV004032",41.99
"Releu DPDT, 8A, 24VDC, 40 Finder 40.52.9.024.000",41.99
"Lampa de semnalizare Detnov PAD-10, LED, IP42",42.99
"Tub de prelevare 12"" cu gauri pentru DNRE, Morley-IAS - Honeywell DST1",42.99
"Buton de incendiu conventional, indicator LED, NC/NO, rezistenta interna 470 Ohmi, TEKNIM TFB-3167",42.99
"Buton de incendiu conventional, resetabil, TEKNIM, TFB-3165",44.99
"Soclu izolator Fireclass, FC4B-I",46.99
"Lampa Emergenta EXIT DREAPTA/STANGA LED 3W cu acumulator, BR-BC14-00653",46.99
"Detector combinat de fum si caldura, optic, conventional, Teknim, TFD-4250",47.99
"Sursa de alimentare in comutatie 24V 5A, Safer SAF-39PA",48.99
"Buton de incendiu conventional resetabil, 5-30VDC, Contact NC/NO, IP30, albastru, TEKNIM TFB-3165B",49.99
"Lampa de semnalizare cu stroboscop, LED ROSU, FIRECLASS, RILED",49.99
Detector de fum conventional cu soclu inclus universal SD119-2,49.99
"Buton de incendiu conventional rosu cu sticla Unipos, FD3050",49.99
Detector de fum stand alone 85dB/m baterie 9V inclusa,49.99
"Buton de incendiu conventional, NO/NC, 5-30VDC, rezistenta interna 470 ohmi, TEKNIM, TFB-3165Y",49.99
"Lampa Emergenta EXIT LED 3W cu acumulator, BR-BC14-00553",49.99
"Carcasa din plastic IP65 pentru instalarea modulelor Inim, FBOX100",51.99
"Baza cu adancime mica - rosie, set de 5 buc. - Honeywell CSR",51.99
Cutie montaj modul I/O Morley-IAS - Honeywell M200E-SMB,54.99
"Baza incastrata pentru echipamentele AV, cu garnitura, montaj la exterior, culoare rosie, Morley-IAS - Honeywell WRR",57.99
"Detector de caldura wireless X-Sense XH02-M, alarma 85dB, control din aplicatie, compatibil cu centrala SBS50",57.99
"Detector de temperatura Conventional, Fireclass, FC702H",58.99
Soclu detector cu releu pentru seria 600 FIRECLASS MUB-RV,58.99
"Detector temperatura si crestere temperatura, conventional, Fireclass 601HR",58.99
"Detector fum Smartwise SMOPRO-RF-R2, 433MHz",59.99
"Detector de temperatura si fum conventional TEKNIM, TFD-3250",59.99
"Buton de incendiu conventional cu geam de sticla si fara capac, Tane SM-108",59.99
