Product,Price
Adaptor RCA tata la 2 RCA mama MONO,"1 , 99 Lei"
"Adaptor Jack 3.5 tata la 2 x Jack 3.5 mama STEREO, ZLA0293","1 , 99 Lei"
"Adaptor Jack 6.3 tata RCA mama MONO, ZLA0288","1 , 99 Lei"
Adaptor RCA mama la 2 X RCA mama MONO,"1 , 99 Lei"
"Adaptor Jack 6.3 Tata la Jack 3.5 Mama Stereo, ZLA0324","4 , 99 Lei"
"Cablu adaptor Jack 6,3 tata la Jack 3.5 Mama, Stereo, A-63M35F-0.2M","7 , 99 Lei"
"CABLU audio Jack 3.5 Tata la 2 RCA mama, Stereo, CCAP-RCAM2F-0.2M","7 , 99 Lei"
"Cablu audio 3 metri 2 RCA Tata la 2 RCA Tata, KPO4001-3.0","8 , 99 Lei"
"Cablu 2RCA/2RCA Gold 3M, CA3RR","9 , 00 Lei"
"Adaptor Jack 6.3 Tata - XRL Mama, ZLA0313-2","9 , 99 Lei"
"Cablu audio 5 metrii 2 RCA Tata la 2 RCA Tata, KPO4001-5.0","11 , 99 Lei"
"Cablu audio 5M Jack 3.5 Tata la 2 RCA Tata Stereo, CA5JR","12 , 99 Lei"
"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10","12 , 99 Lei"
"Cablu microfon XLR mama la Jack 6.3 tata 3 metri, KPO2757-3","25 , 99 Lei"
"Cablu pentru microfon, XLR Mama, Jack 6.3 Tata, 5M, KPO2757-5","31 , 99 Lei"
"Cablu audio 3M 2 RCA Tata la 2 XLR Tata Stereo, CM3RX-2","32 , 99 Lei"
"Cablu audio 3M 2 RCA la 2 Jack 6.3 Mono, CM3RJ-2","39 , 99 Lei"
"Cablu audio XLR Mama - XLR Tata, lungime 5 metri, Negru, CM5XXF","39 , 99 Lei"
Set boxe lemn 6W (2X3W) alimentare prin USB Spacer SPSK-201-WD,"39 , 99 Lei"
"Boxa incastrabila pentru tavan, 13 cm, 6 W, 89 dB, Power Dynamics, CSPB5","43 , 99 Lei"
"Cablu difuzor speakon/speakon 5 metri, CS5SS","49 , 99 Lei"
"Cablu audio 10M XLR Tata la XLR Mama, CM10XXF","49 , 99 Lei"
"Difuzor incastrat 100V, 10W, 6.5"" CSPB6","53 , 59 Lei"
"Microfon lavaliera, cu cablu, Intrare Jack 3.5mm, clema de prindere, OPMLLCB","54 , 99 Lei"
"Cablu audio Speakon tata - Jack 6.35 tata, lungime 10 m, negru, KPO2759-10","57 , 99 Lei"
Set boxe PC 2.1 6W + 5W SPACER - SPB-807 Negre,"59 , 99 Lei"
Set boxe PC 2.1 6W + 5W SPACER - SPB-807 Albe,"59 , 99 Lei"
"Microfon audio DM 604, cablu XLR - Jack 6.3, 600 Ohm, MIK0003 Rebel","68 , 99 Lei"
"Cablu difuzor jack/speakon 10 metri, CS10JS","68 , 99 Lei"
"Potentiometru volum 30W, PA 100V, VC30R BST Pro AR30","79 , 99 Lei"
"Cablu difuzor speakon/speakon 10 metri, CS10SS","79 , 99 Lei"
Cablu 10 m cu conector de tip m12 Autone ATE-AVIA/AVIA-10M,"82 , 99 Lei"
"Difuzor PA 100V incastrabil tavan, 15W, 8 ohm, 91 dB, VoiceKraft, VK 611 SW","84 , 99 Lei"
"Megafon 20W, cu acumulator reincarcabil, functie de inregistrare, MEGA20W","85 , 99 Lei"
"Microfon cu trepied, reglabil, jack 3.5mm, cablu 1,8m, VARR VGMM","89 , 99 Lei"
"Microfon unidirectional 400 Ohm, cablu XLR inclus, BST MDX50","92 , 99 Lei"
"Kit microfon gaming, filtru cos trepied VARR, VGMSB","94 , 99 Lei"
"Cablu difuzor jack/speakon 15 metri, CS15JS","95 , 29 Lei"
Microfon conferinta cu stativ pentru anunturi MH35A,"96 , 99 Lei"
"Microfon dinamic, 74dB, 600 Ohmi, cablu 5m, XLR, REBEL MIK0002","99 , 99 Lei"
"Microfon dinamic 74dB Rebel, MIK0004","99 , 99 Lei"
RECEIVER audio bluetooth TP-LINK HA100,"107 , 99 Lei"
"Cablu difuzor speakon/speakon 15 metri, CS15SS","116 , 99 Lei"
"Potentiometru pentru volum compatibil cu sistemele Public Adress 100V, PDVC100","117 , 99 Lei"
"Microfon USB, cu trepied si filtru REBEL, KOM1052","119 , 99 Lei"
"Boxa de perete 10W,100/70V, 160Hz-18000Hz, terminale 3W /6W /10W DSPA106II","123 , 99 Lei"
"Microfon pentru sisteme de conferinta, Profesional, Pozitie Reglabila, Cablu XLR inclus, BST GM20","129 , 99 Lei"
