SKU,Name
DS-2CD1023G0E-I,"Camera bullet IP, 2MP, lentila 2.8mm, IR 30m, PoE, Hikvision, DS-2CD1023G0E-I"
IPC-HFW3249E-AS-LED-0280B,"Camera supraveghere IP exterior Dahua Full Color WizSense IPC-HFW3249E-AS-LED-0280B, 2 MP, lumina alba 30 m, 2.8 mm, microfon, slot card"
KIT-2ESAF2(C),"Sistem 4 camere exterior IR 20M, lentila 2.8mm, DVR SAFER 4 canale"
LINO SOLO,"Automatizare pentru 1 Foaie de poarta / Canat, pana la 300KG sau 3m, Linomatik Lino Solo"
AJAX LeaksProtect BL,"Detector wireless de inundatii, 868 MHz, IP65, AJAX LeaksProtect BL"
VPM.02F03.ELBH4,"Post de exterior pentru videointerfon, smart, 4 fire, 2 familii, montaj ingropat, Electra, VPM.02F03.ELBH4"
HWI-D140H-28(C),"Camera de supraveghere IP Dome, 2K 4MP, 2.8mm, IR 30m, PoE, IP67 Hikvision HWI-D140H-28(C)"
LINEARK40024,"Automatizare poarta batanta 2x3 metri, 2x300 kg,  trafic intens, LINEARK40024"
KIT-2ESAF2(C),"Sistem de supraveghere SIMPLU, 4 camere exterior FULL HD, IR 20M, 2.8mm, DVR SAFER 4 canale, fara accesorii, KIT-2ESAF2(C)"
KITSAF4X-2MP2028U,"Kit de supraveghere pentru exterior, 4 camere bullet, 2MP, LED lumina alba 20m, DVR 4 canale, Functii AI, KITSAF4X-2MP2028U"
KIT4E2SAF-DH,"Sistem supraveghere 4 camere plastic Full HD + DVR 4 canale Dahua, KIT4E2SAF-DH"
KIT4INT50IRDAH,"Sistem de supraveghere 4 camere interior Dahua, 2MP, Smart IR 25M, microfon incorporat"
KIT4EXT30IRDAH,"Kit supraveghere video Full HD, DVR cu 4 camere tip bullet, smart IR 40m, 3.6 mm, Dahua KIT4EXT30IRDAH"
KIT4E22-DAH,"Sistem 4 camere exterior IR 20M, lentila 3.6mm + DVR 4 canale Dahua, KIT4E22-DAH"
KIT4DOMEFHDMTL,"Sistem supraveghere, 4 camere dome, 2.8 mm, Full HD, microfon incorporat, KIT4DOMEFHDMTL"
KITDAH-5MPIR3028-XVRI3,"Kit supraveghere video, DVR cu 4 camera bullet, smart IR 30m, Dahua KITDAH-5MPIR3028-XVRI3"
KITINT-4X-5MP28I20,"Kit de supraveghere pentru interior, 4 camere Dome, Starlight, 5MP, IR 25m, DVR, 4 canale, Functii AI, Safer KITINT-4X-5MP28I20"
KIT4EXT80IRD-A,"Sistem supraveghere 4 camere exterior Safer, Microfon, 2MP, IR 60 M, IP67, lentila 2.8mm, KIT4EXT80IRD-A"
KIT4INT5MPX-1,"Sistem de supraveghere 4 camere dome de 8MP, IR 20m, KIT4INT5MPX-1"
KIT4MIXT20DAH,"Sistem supraveghere 4 camere mixt, rezolutie 5MP, IR 40 metri, DVR Dahua"
KITSAF4X-2MP2028UACC,"Kit de supraveghere pentru exterior, 4 camere bullet, 2MP, LED alb 20m, DVR 4 canale, Functii AI, Accesorii incluse, KITSAF4X-2MP2028UACC"
KITFULL4X1200M-1,"Kit camere supraveghere interior profesionale, 4 camere Dahua Full HD, aceesorii incluse, KITFULL4X1200M-1"
KIT5MPINT-DAH-1,"Kit supraveghere video complet cu 4 camere interior 2MP Safer, DVR 4 canale, Dahua KIT5MPINT-DAH-1"
KITHIK-4X-5MP36IR80,"Sistem de supraveghere 4 camere exterior 5MP 2K, 3.6mm, IR 80m, DVR 4 canale Hikvision KITHIK-4X-5MP36IR80"
SAF-4XFHDIR40ACC,"Kit de supraveghere cu 4 camere Full HD Safer,  IR 30m, DVR si accesorii pentru instalare, SAF-4XFHDIR40ACC"
KIT8FHD-DAH200-3,"Kit  4 camere 2MP si DVR 4 canale, Dahua KIT8FHD-DAH200-3"
KIT-DAH-2MP-30-I3-ACC,"Kit supraveghere video pentru exterior, 2MP, IR 20m, lentila 3.6mm, Dahua KIT-DAH-2MP-30-I3-ACC"
KITDH2MPDAHUA,"Kit supraveghere 4 camere Full HD + DVR 4 canale si accesorii, DAHUA, KITDH2MPDAHUA"
KITSAF2MPSAF-M-1TB,"Kit supraveghere complet, 4 camere Full HD, DVR 4 canale cu AI, HDD, - GATA DE INSTALARE, KITSAF2MPSAF-M-1TB"
DH-4XB1A21-1TB,"Kit supraveghere video cu accesorii, FULL HD, IR 20 metri, DAHUA, DH-4XB1A21-1TB"
KIT4FHDMIXT-M,"Kit supraveghere mixt cu accesorii, 4 camere FULL HD, IR la 40m KIT4FHDMIXT-M"
KITINT-4X-5MP28I20-ACC,"Kit de supraveghere pentru interior, 4 camere Dome, Starlight, 5MP, DVR, 4 canale, Functii AI, Accesorii incluse, Safer KITINT-4X-5MP28I20-ACC"
KIT-DAH-4x2MP30I3-COMPLET,"Kit complet supraveghere video, 4 Camere 2 MP, IR 20 m, HDD 1TB, DVR 4 canale Safer KIT-DAH-4x2MP30I3-COMPLET"
SAF-4XFHDIR80ACC,"Kit supraveghere video Safer, 2 MP, 4 camere, IR 80m, DVR 4 canale, SAF-4XFHDIR80ACC"
KITSAF4X-BP8MP80F28-A,"Kit de supraveghere pentru exterior, 5MP, 2.8mm, IR 40m, DVR 4 canale, Safer KITSAF4X-BP8MP80F28-A"
KITSAF4X2MP20F28-ACCHDD,"Kit complet de supraveghere pentru exterior, 4 camere Bullet, 2MP, LED alb 20m, DVR 4 canale, Functii AI, KITSAF4X2MP20F28-ACCHDD"
KITSAF-4X-5MPL40,"Kit de supraveghere pentru exterior, 4 camere Bullet, Starlight, 5MP, DVR 4 canale, Functii AI, Safer KITSAF-4X-5MPL40"
KITACC8-1-1,"Kit accesorii sisteme de supraveghere 8 camere, KITACC8-1-1"
KIT8EXT20IRSAF,"Kit supraveghere video, DVR cu 8 camere tip bullet, smart IR 40m, Safer KIT8EXT20IRSAF"
KITACC8-1,Kit accesorii sisteme de supraveghere 8 camere
KIT-8EFHD4DAH,"Kit supraveghere video, 8 camere FULL HD, lentila 2.8mm + DVR Dahua 8 canale"
KITSAF8X-2MP2028-LED(U),"Kituri de supraveghere pentru exterior, 8 camere bullet, 2MP, LED cu lumina alba 20m, Audio prin HDCVI, DVR 4 canale, Functii AI, Safer KITSAF8X-2MP2028-LED(U)"
KITSAF8X-5MP2028U,"Kit de supraveghere video, 8 camere 5 MP, IR 20 m, DVR 8 canale, Safer, KITSAF8X-5MP2028U"
SAF-8XFHDIR40,"Kit supraveghere video, DVR cu 8 camere tip bullet, smart IR 40m, SAFER, SAF-8XFHDIR40"
KIT-8CAMDVRI3,"Kit supraveghere video, DVR cu 8 camera bullet, smart IR 30m, Dahua KIT-8CAMDVRI3"
KIT2MPEXT-SAF-ACC,"Kit supraveghere video complet cu 8 camere exterior 2MP Safer, Dvr Safer KIT2MPEXT-SAF-ACC"
KIT8FHD-DAH-TW,"Kit supraveghere video, 8 camere exterior, 2MP, IR 40 m, Dahua"
KIT8EXT30IRDAH,"Kit camere supraveghere exterior profesionale, DVR cu 8 camere tip bullet, smart IR 30m, Dahua KIT8EXT30IRDAH"
KITSAF-8X-5MP28I40,"Kit de supraveghere video de exterior, 8 camere 5 MP, IR 40 m, DVR 8 canale, Safer, KITSAF-8X-5MP28I40"
KITEXT8FULLHD,Kit de supraveghere video 8 camere exterior Full HD
KIT-DAH8EFHD,"Kit supraveghere video 8 camere Dahua FULL HD, lentila 3.6mm + DVR Dahua 8 canale cu recunoastere faciala"
KIT4MIXT30DAH,"Kit camere supraveghere profesionale, 8 camere mixt, rezolutie 5MP, IR 30 metri, DVR Dahua KIT4MIXT30DAH"
KIT-SAF-2MP-30-I3-COMPLET,"Kit complet supraveghere video, 8 Camere 2 MP, IR 40 m, HDD 2TB, DVR 8 canale 2MP, Safer KIT-SAF-2MP-30-I3-COMPLET"
KIT-DAH-2MP30I3-COMPLET,"Kit complet supraveghere video, 8 Camere 2 MP, IR 40 m, HDD 2TB, DVR 8 canale, Dahua KIT-DAH-2MP30I3-COMPLET"
KIT8FHDE,"Kit camere supraveghere exterior profesionale, 8 camere, FULL HD, IR 40 M, lentila 3.6 mm, KIT8FHDE"
KIT-8SAFPRO8X4K,"Kit supraveghere video de baza, DVR si 8 camere bullet de 5MP cu smart IR 80m, Safer KIT-8SAFPRO8X4K"
KITSAF-8X-8MP28I20,"Sistem de supraveghere video 8 camere de exterior 4K, IR 20m, DVR 8 canale Safer KITSAF-8X-8MP28I20"
KIT8EFHD-8SAF,"Kit supraveghere video, 8 camere de exterior FULL HD, 2.8mm, DVR 8 canale Safer, KIT8EFHD-8SAF"
KITHIK-8X-5MP36IR80,"Sistem de supraveghere 8 camere exterior 5MP 2K, 3.6mm, IR 80m, DVR 8 canale Hikvision KITHIK-8X-5MP36IR80"
KITSAF8X-5MP80F36-A,"Kit de supraveghere pentru exterior, 8 camere bullet, 5MP, LED 40m, DVR 8 canale, Functii AI, Audio prin HDCVI, Safer KITSAF8X-5MP80F36-A"
KITSAF-8X-8MP28I20-HDD,"Sistem de supraveghere video 8 camere de exterior 4K, IR 20m, DVR 8 canale Safer, HDD 2TB KITSAF-8X-8MP28I20-HDD"
KIT8FHDEXT,"Kit supraveghere video 8 camere de exterior 1080P FULL HD, IR 40 metri"
KITSAF8X-BP8MP80F28-A,"Kit de supraveghere pentru exterior, 8 camere bullet, 8MP, IR 80m, DVR 8 canale, Functii AI, Audio prin HDCVI, Safer KITSAF8X-BP8MP80F28-A"
KITSAF-8X-5MPL40,"Kit de supraveghere pentru exterior, 8 camere bullet, 5MP, Starlight, DVR 8 canale, audio prin HDCVI, Safer KITSAF-8X-5MPL40"
KIT-DAH-2MP-30-I3-COMPLET,"Kit complet supraveghere video, 8 Camere 2 MP, IR 30 m, HDD 2TB, DVR 8 canale 2MP, Dahua KIT-DAH-2MP-30-I3-COMPLET"
KIT8C2MPEXT-I3,"Kit de supraveghere 8 camere exterior 5MP, IR 80 metri, Microfon si DVR 8 canale, Safer KIT8C2MPEXT-I3"
KIT8FHDMIXT,"Kit supraveghere video 8 camere, Full HD, audio, mixt, KIT8FHDMIXT"
KITIP-8X-2MP2830,"Kit de supraveghere video IP de exterior, 8 camere 2 MP, IR 30 m, NVR 8 canale, Safer, KITIP-8X-2MP2830"
KIT-8SAFPRO8X4KACC,"Kit supraveghere video, DVR cu 8 camere bullet, 5MP, smart IR 80m, accesorii inluse, KIT-8SAFPRO8X4KACC"
KITSAF8X-5MP80F36-A-ACC,"Kit de supraveghere pentru exterior, 8 camere bullet, 5MP, IR 80m, DVR 8 canale, Audio prin HDCVI, Accesorii incluse, Safer KITSAF8X-5MP80F36-A-ACC"
KITIP-8X-2MP2830POE,"Kit de supraveghere IP, 8 camere exterior 4MP, 2.8mm, IR 50 metri si NVR 8 canale, KITIP-8X-2MP2830POE"
KIT8FHDSAF200,"Kit complet supraveghere video 8 camere de exterior FULL HD, IR 80 metri, KIT8FHDSAF200"
KITSAF-8X-5MP28IL40,"Sistem 8 camere exterior Iluminare duala 40m, Lentila 2.8 mm, Audio, DVR 8 canale Safer KITSAF-8X-5MP28IL40"
KITEXT8FULLHD-2,"Kit de supraveghere video 8 camere exterior Full HD, 3.6 mm, LED alb 40m, Audio, DVR 8 canale, WizSense, Dahua KITEXT8FULLHD-2"
KITIP-8X-4MP420,"Kit de supraveghere video IP de exterior, 8 camere 4 MP, IR 20 m, NVR 8 canale, Safer, KITIP-8X-4MP420"
