Product,Price
Stiker Supraveghere video,4.99
"Camera supraveghere dome, 2MP, infrarosu la 20 metri, lentila 2.8mm, SAF-DP2MP20F28(U)",46.99
"Camera de supraveghere HDCVI pentru exterior, Full HD 2MP, 2.8m, IR 20m, IP67, Safer SAF-BP2MP20F28(U)",47.99
"Camera de supraveghere dome, 4 in 1, 2MP, lentila fixa 2.8mm, Smart IR 20m, Hikvision, HWT-T120-P",56.99
"Kit adaptor pentru alimentarea camerei de bord MINI, DDPAI HARDWIRE-KIT-MINI",59.99
"Camera de supraveghere exterior Safer, 2MP Full HD, 2.8mm, Full Color LED alb 20m, IP67, SAF-BP2MP20F28-LED(U)",59.99
"Camera dome HDCVI, 2 MP, IR 20 metri, lentila 2.8mm, Dahua, HAC-T1A21-0280B",63.99
"Camera bullet, 2 MP HDCVI, Smart IR 20 m, lentila 3.6mm, Dahua, HAC-B1A21-0360B",63.99
"Camera de supraveghere Dome, 2MP Full HD, Smart IR 20m, lentila 2.8mm, Safer SAF-DP2MP20F28(C)",69.99
"Camera de supraveghere pentru exterior, 2K 5MP, 2.8mm, IR 20 metri, HDCVI, IP67, Safer SAF-BP5MP20F28(U)",69.99
"Camera de supraveghere analogica, pentru exterior, 2MP, Smart IR 20m, Lentila 2.8mm, IP66, Hikvision, HWT-B120-M",71.99
"Camera bullet de supraveghere, 2MP, lentila 2.8mm, IR 20m, IP66, Hikvision HiWatch HWT-B120-P28",74.99
"Camera supraveghere Dome Dahua, IR 25 m, 2 MP, 2.8 mm, HAC-HDW1200TRQ-0280B",74.99
"Camera Dome cu microfon, Turbo HD, 2MP Full HD Hikvision DS-2CE76D0T-ITPFS(2.8MM)C, IR 20m cu EXIR 2.0",75.99
"Camera de supraveghere pentru exterior Safer, Full HD 2MP, 2.8mm, IR 40m, IP67, SAF-BP2MP40F28",75.99
"Camera de supraveghere, 2 MP Full HD, LED cu lumina alba 40 m, Microfon HDCVI, 2.8mm, Safer, SAF-BM2MP40F28-LED-A-(U)",79.99
"Camera de supraveghere, 5 MP, IR 40 m, 2.8mm, LightHunter, Safer, SAF-BP5MP30F28-LH-A(U)",79.99
"Camera analogica cu rezolutia de 2 MP Full HD, lentila 3.6mm, IR 25m, 4 in 1, Hikvision DS-2CE16D0T-ITPF(3.6mm)(C)",81.99
"Camera dome FULL HD, 2 Megapixeli, Infrarosu la 20m, EXIR 2.0, all in one, DS-2CE76D0T-ITPF(2.8MM)C",81.99
"Camera de supraveghere analogica HDCVI Dahua, 2MP Full HD, 2.8 mm, IR30m, IP67, HAC-HFW1200T-0280B-BLACK",83.99
"Kit adaptor pentru alimentarea camerei de bord MINI 3, DDPAI HARDWIRE-KIT-MINI3",89.99
"Camera de supraveghere Hiwatch HWT-T120-M(2.8MM), 2MP Full HD, 2.8mm, IR 20m, IP66",91.99
"Camera dome, Safer, 5 Megapixeli, lentila 2.8mm, IR 20m, SAF-DP5MP20F28",94.99
"Camera supraveghere exterior HDCVI, 2MP, lentila 2.8mm, IR 60m, microfon, IP67, Safer SAF-BP2MP60F28-A",95.99
"Camera supraveghere, Dome, FULL HD, lentila 2.8 mm, IR 20 metri, Safer SAF-DM2MP20F28(C)",95.99
"Camera de supraveghere interior Hikvision DS-2CE56D0T-IRPF2.8(C), 2.8mm, 2MP Full HD, IR 20m",98.99
"Camera de supraveghere, 5 MP, LED cu lumina alba 40 m, 2.8mm, ColourHunter, Safer, SAF-BM5MP40F28-LED-A(U)",99.99
"Camera exterior Dahua, 2MP, lentila 2.8mm, IR30m, HAC-HFW1200C-0280B-S5",99.99
"Camera de supraveghere dome, 2 MP, smart IR 30 m, 2.8 mm, Dahua, HAC-HDW1200TRQ-A-0280B",99.99
"Camera exterior 4 in 1, Hikvision, 2MP, IR 20m, DS-2CE16D0T-IRPF(C)",101.99
"Camera exterior FULL HD, Hikvision, IR 40 metri, lentila 2.8mm, DS-2CE17D0T-IT3F(C)",102.99
"Camera de supraveghere pentru exterior, 5MP, 2.8mm, IR 20m, IP66, Hikvision HiWatch HWT-B150-P(28)",102.99
"Camera de supraveghere, 2MP, lentila 2.8, Smart IR 30m, Analiza DORI, IP67, Dahua HAC-HDW1200TLMQ-0280B",104.99
"Camera Full Color pentru interior, 2K 5MP, 2.8mm, Iluminare LED 20m, IP67, Safer SAF-DP5MP20F28-LED(U)",104.99
"Camera de supraveghere pentru interior, 5MP 2K, 2.8mm, IR 20m, Hikvision HWT-T150-P(2.8mm)",105.99
"Camera de supraveghere Hikvision, 4 in 1, Full HD 2MP, Lentila 2.8 mm, IR 30 metri, DS-2CE16D0T-ITF2.8(C)",105.99
"Camera de supraveghere pentru exterior, 2MP Full HD, lentila fixa 2.8mm, IR40m, 4 in 1, Hikvision HiWatch, HWT-B220-M",105.99
"Camera dome analogica, 5MP, lentila 2.8mm, IR 20m, IP66, Hikvision HiWatch HWT-T150-M28",105.99
"Camera de supraveghere TurboHD, 2MP, Lentila 2.8mm, Iluminare Duala, Microfon, IP67, Hikvision DS-2CE16D0T-LPFS(2.8mm)",105.99
"Camera de interior, 2MP Full HD, Iluminare Duala cu IR si LED 20m la detectie miscare, 2.8mm, microfon, Dahua HAC-HDW1200CLQP-IL-A-0280B-S6",105.99
"Camera bullet de exterior 2 MP HDCVI, Smart IR 20 m, lentila 3.6mm, carcasa metal, Dahua HAC-B2A21",105.99
"Camera de supraveghere TurboHD, 2MP, Lentila 2.8mm, Iluminare duala, Microfon, Hikvision DS-2CE76D0T-LPFS(2.8mm)",106.99
"Camera de supraveghere pentru exterior HDCVI, Full HD 2MP, 3.6mm, Iluminare duala IR si LED 20m, Microfon, Dahua HAC-HFW1200CLP-IL-A-0360B-S6",108.99
"Camera supraveghere exterior HDCVI Dahua HAC-HFW1200CL-IL-A-0280B-S6, Full HD, lentila 2.8mm, Iluminare duala 20m, Microfon",108.99
"Camera de supraveghere pentru interior Dahua Full HD, 2.8mm, IR 20m, IP67, HAC-T2A21-0280B",108.99
"Camera exterior, 2MP FULL HD, IR 80 metri, lentila 3.6mm, TurboHD/CVI/AHD/CVBS, Safer Pro, SAF-PRO-BM2MP80F36",109.99
"Camera exterior Dahua, 2MP, lentila 2.8mm, IR30m, microfon incorporat, HAC-HFW1200CMP-A-28B-S6",109.99
"Camera de supraveghere HDCVI pentru exterior, 2MP Full HD, 3.6 mm, IR 80m, IP67, Safer SAF-BM2MP80F36TH",109.99
"Camera de supraveghere Dome, Starlight, 4 in 1, 5MP, 2.8mm, IR 25m, Safer SAF-DP5MP20F28(Q)",111.99
"Camera de exterior Full Color Safer, 5MP 2K, 2.8mm, LED alb 20m, IP67, SAF-BP5MP20F28-LED(U)",111.99
"Camera de exterior 4 in 1 comutabil, 5MP 2K, 2.8 mm, IR 20m, IP66, Hikvision HWT-B150-M-28",112.99
"Camera dome Turbo HD Hikvision DS-2CE56D0T-IRF(C), 2 MP, IR 25m, lentila 2.8mm, IP67",113.99
"Camera de supraveghere interior STARLIGHT Full Color, 2MP, 2.8 mm, LED alb 20 m, Microfon, Safer SAF-DP2MP20F28-A-LED",114.99
"Camera de supraveghere exterior HDCVI, 2MP, lentila 2.8mm, IR 40m, Microfon, IP67, Dahua HAC-HFW1200TH-I4-A",114.99
"Camera de supraveghere Hikvision, Turbo HD, 2 Mp Full HD, lentila 2.8mm, DS-2CE56D0T-IRMF(C)",115.99
"Camera de supraveghere analogica Dahua, Full HD, 3.6mm, IR 60m, Microfon, IP67, HAC-HFW1200TLM-I6-A-0360B-S6",115.99
"Camera bullet 4 in 1, senzor 2 MP, Audio prin Coax, IR 30 Metri, lentila 2.8mm, DS-2CE16D0T-ITFS",115.99
"Camera Dome Safer, 4K - 8MP, lentila 2.8 mm, IR 20m, SAF-DP8MP20F28",116.99
"Camera de interior HDTVI cu iluminare duala, 2MP Full HD, Hikvision DS-2CE76D0T-LMFS, LED Alb 20m, IR 30m, 2.8mm, Microfon, IP67",116.99
Camera spate XIAOMI 70mai Backup Camera RC06,116.99
