Product,Original Price,Discounted Price
"Mufa pentru telefon, cu 4 pini 4P4C, TEL0001.1",0.19,0.15
"Mufa RJ11 pentru cablu telefon, 6 pini 4 contacte, RJ11",0.20,0.19
"Mufa receptor telefon, 4 pini, 4 contacte, RJ10",0.20,0.19
"Mufa RJ45 UTP/ FTP cu 8 pini 8P8C, CAT5E, TEL0004A",0.23,0.2
Manson de protectie pentru mufa RJ-45 FTP/UTP BT5GY,0.25,0.22
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, albastru, Logilink MP0008",0.29,0.25
Mufa UTP 8p8c Cat6E,0.30,0.28
"Manson Mufa RJ45 pentru cablu UTP, FTP si SFTP, BT5WH",0.34,0.26
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, rosu, Logilink MP0010",0.35,0.27
"Manson Mufa RJ45 pentru cablu UTP, LOGILINK MP0006",0.35,0.27
"Mufa RCA TATA rapida cu insurubare, WTY0640",0.43,0.42
"Mufa RJ45 UTP / FTP, 8 pini, cu ecranaj metalic, CAT5E, TEL0005A",0.45,0.38
"Mufa alimentare camera TATA cu surub, DCM",0.47,0.46
"Mufa BNC Tata - BNC Tata, BNCM-M",0.55,0.52
"Mufa RCA Tata - BNC Mama, BNCF-RCAM",0.59,0.53
"Adaptor BNC Mama – Mama, BNCF-F",0.61,0.6
"Mufa F pentru BNC cu filet RG6U, WTY0455",0.65,0.5
Conector neecranat Pass Through RJ45 CAT5E TEL0071,0.69,0.63
"Mufa RJ45, 8 pini, CAT 6E, UTP/FTP, ecranaj metalic, PLUG6SP",0.75,0.72
"Conector BNC M coaxial RG6, BNC-W/55",0.89,0.85
"Mufa BNC tata RCA tata, B15",0.91,0.85
"Mufa DCF pentru alimentare camera Mama cu surub, DCF",0.95,0.79
"Mufa RJ45, 8 pini, UTP/FTP, ecranaj metalic, Pass Trough, CAT 6, TEL0074",0.95,0.85
"Mufa BNC Tata RCA Mama, BNCM RCAF",0.99,0.88
"Conector ecranat Rj45 CAT5E, RJ45HOLE",0.99,0.85
"Mufa camera BNC Tata F Mama, ZLA 0477",0.99,0.95
Adaptor F Mama / F mama Cupru,0.99,0.84
"Mufa de alimentare tata cu terminale PUSH – DCM, DCM-PUSH",1.17,1.14
"Mufa Bnc cu protectie cablu, BNC-SCREW",1.19,1.0
"Conector neecranat Pass Through RJ45 CAT 6E, TEL0072",1.19,0.79
"Adaptor pentru cablu coaxial, in forma de T cu 1 mufa F tata la 2 mufe F mama, ZLA0458",1.20,1.15
"Mufa BNC M - UTP cu surub, BNCM-D",1.25,1.2
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP MP0035G",1.29,0.84
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP, Cat6, MP0035R",1.29,0.95
"Conector universal 2 x 0.75-2.5MM, ZLA0950",1.49,1.25
"Presetupa PG13.5, 13mm, IP68, gri, Elmark 500135",1.49,1.35
"Mufa BNC Tata sertizabila RG59, WTY0474-2",1.49,1.05
Mufa BNC cu surub si protectie cablu,1.60,1.37
"Mufa BNC TATA sertizabila RG6U, WTY0474-3",1.79,1.35
"Adaptor utp mama-mama pentru mufa RJ45, CAT5, TEL0021-2",1.79,1.5
"Mufa BNC Tata 90 de grade, WTY0495",1.79,1.7
"Distribuitor alimentare 2 iesiri TATA, C2",1.80,1.79
"Mufa de alimentare mama cu terminale, DCF-PUSH",1.99,1.9
Mufa BNC F la RCA F,1.99,1.59
"Mufa alimentare mama cu fir DCF-WIRE, DCF-WIRE",2.49,1.2
"Mufa BNC RG59 Compresie, CBN-051 RG59",2.49,2.15
"Mufa alimentare tata cu fir DCM-WIRE, DCM-WIRE",2.49,1.0
"Adaptor F tata - F mama 90 Cupru, ZLA2561",2.49,2.35
"Banda izolatoare 19mm, PVC, autostingere, Freder 9-1116",3.49,3.0
"Mufa BNC RG6 Compresie, CBN-051 RG6",3.60,3.5
"Banda de izolat ignifuga 20 metri, BANDA20ABS",3.99,3.2
"Patchcord S/FTP Cat 6A, 0.25M, Gri, SAFER, SFTP6A-0.25M",3.99,2.89
"Banda de izolat ignifuga 20 metri alba, BANDA20A",3.99,3.2
"Banda de izolat ignifuga 20 metri neagra, BANDA20N",3.99,3.2
"Patchcord S/FTP Cat 6A, 0.25M, Rosu, SAFER, SFTP6A-0.25M-R",3.99,2.89
"Conector compact doza Wago 221-613, 3 terminale de 6mm, 450V, 41A",3.99,3.6
"Patchcord S/FTP Cat 6A, 0.25M, Negru , SFTP6A-0.25M-BL, SAFER",3.99,2.89
"Patchcord S/FTP Cat 6A, 0.5M , Gri, SFTP6A-0.5M, SAFER",4.19,3.19
"Patchcord S/FTP Cat 6A, 0.5M, Negru , SFTP6A-0.5M-BL, SAFER",4.49,3.39
"Patchcord SFTP Cat 6A, 0.5M, Rosu, SFTP6A-0.5M-R, SAFER",4.49,3.39
"Patchcord S/FTP Cat 6A, 0.5M, Albastru, SFTP6A-0.5M-B, SAFER",4.49,3.39
"Patchcord S/FTP Cat 6A, 0.5M, Verde , SFTP6A-0.5M-G, SAFER",4.49,3.39
"Patchcord S/FTP Cat 6A, 0.5M, Galben , SFTP6A-0.5M-Y, SAFER",4.49,3.39
"Set 100 buc Coliere de plastic de tip Fasete / Soricei, 150x3.5mm, V-Tac, Alb, SKU-11165",4.69,4.4
Surubelnita in cruce scurta cap magnetic 38mm,4.99,4.4
"Fasete de prindere, plastic, 2.5 mm x 200 mm, albe, 100 bucati, V-TAC, SKU-11163",4.99,4.4
"Fasete de prindere, plastic, 2.5 mm x 100 mm, negre, 100 bucati, V-TAC, SKU-11160",4.99,3.5
Set 10 DCM - Mufe alimentare tata pentru camere supraveghere 10XDCM,4.99,4.99
Mufa METAL RCA TATA,4.99,4.71
"Doza din plastic pentru economizor, ABK-802+K(G), Yli",4.99,3.5
"Pat de cablu 16x16mm, 2 metri cu capac",4.99,4.5
"Set 4 suruburi si piulite pentru rack, RACKSCREW4",4.99,4.5
"Mufa AC TATA, C14, 250V, AC10A, Safer IEC-320C14",4.99,4.0
Stiker Supraveghere video,4.99,3.15
"Set bride 2.5MM/ 15CM, negru, 100BUC/ set",5.49,4.73
"Doza aplicata de exterior IP54 100x100, 5232H",5.49,5.25
"Patchcord, Cat6, cupru-aluminiu, 1 m, negru, AWG24, LogiLink, CP2033U",5.49,5.3
"Baterii alcaline 1.5V AA-LR6 / BLISTER, 4 baterii in SET, BAT0061B",5.99,5.25
"Patchcord S/FTP Cat 6A, 1 Metru, Gri, SAFER, SFTP6A-1M",5.99,4.29
"Videobalun pasiv cu surub compatibil cu sisteme HD, CPB-H202C",5.99,5.0
"Surubelnita cu maner din cauciuc si varf magnetic, Chrome Vanadiu PZ0X75MM 10490",5.99,5.5
"Patchcord S/FTP Cat 6A, 1 Metru, Verde, SFTP6A-1M-G, SAFER",5.99,4.29
"Alimentator camera supraveghere 12V 1A in comutatie, AT 12V1A",5.99,5.8
"Adaptor pentru stecher priza Anglia / Romania, ALB, UK/RO-ALB",5.99,5.0
"Patchcord retea, CAT6, 1M, Gri, Logilink, CP2032U",5.99,5.5
"Patchcord S/FTP Cat 6A, 1 Metru, Albastru, SFTP6A-1M-B, SAFER",5.99,4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Rosu, SFTP6A-1M-R, SAFER",5.99,4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Galben, SFTP6A-1M-Y, SAFER",5.99,4.29
"Doza legatura PT Gewiss GW44003, cu presetupe, 80x80x40mm, IP44",6.19,6.0
"BRIDE 200 X 2,5 MM ALBE (100 BUC/SET)",6.45,5.99
"Cablu de alimentare AC pentru surse SMPS, ACC2",6.89,6.56
"Baterie LongLife R3 AAA Blister 4 buc, Philips, PH-R03L4B/10",6.99,6.5
"Stecher portabil Gewiss GW28011, 2P+E 10/16A, 250Vca, standard german/francez, alb",6.99,6.0
Ruleta metalica 2 metri - 13mm,6.99,6.4
"Cablu 4 iesiri alimentare TATA, C4",6.99,5.29
"Microfon supraveghere video pe fir, JS-601",7.39,7.3
"Cleste pentru sertizat cabluri de retea in priza sau patchpanel, KRONE ISDN-0018",7.99,7.5
Tester tensiune 220-250V (140mm),7.99,5.25
Doza dedicata CCTV rotunda 140mm x 113mm x 45mm Cambox MONO JB311(W),7.99,7.4
"Cablu splitter alimentare 5 iesiri TATA, C5",7.99,6.9
"Alimentator camera supraveghere 12V 2A in comutatie, AT 12V2A",7.99,7.8
"Fasete de prindere, plastic, 2.5 mm x 200 mm, negre, 100 bucati, V-TAC, SKU-11164",7.99,6.0
"Patchcord S/FTP Cat 6A, 2 Metri, Verde , SFTP6A-2M-G, SAFER",8.79,6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Galben , SFTP6A-2M-Y, SAFER",8.79,6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Rosu , SFTP6A-2M-R, SAFER",8.79,6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Gri, SFTP6A-2M, SAFER",8.79,6.99
BRIDE 200 X 4 MM ALBE (100 BUC/SET),8.99,8.5
"Cablu alimentare calculator, UPS, monitor, sursa, lungime 1.2M, CABALIM1M",8.99,8.0
Doza de exterior dedicata CCTV 118x118x55 Cambox Lotus(White),8.99,7.4
"BRIDE 200 X 3,6 MM ALBE (100 BUC/SET)",8.99,7.88
"Doza derivatie 100 x 100 x 50 mm Gewiss, DOZAGEWISS",8.99,6.99
"Izolator de bucla la masa pentru coaxial HD-TVI/HD-CVI/AHD/Analog CVBS, B1L",9.49,9.3
Pachet 10 x Mufa camera BNC Tata F Mama,9.99,9.99
"Cablu 8 iesiri alimentare TATA, C8",9.99,8.4
