Product,Price
Stiker Supraveghere video,3.15
"Camera supraveghere dome, 2MP, infrarosu la 20 metri, lentila 2.8mm, SAF-DP2MP20F28(U)",45.00
"Camera de supraveghere HDCVI pentru exterior, Full HD 2MP, 2.8m, IR 20m, IP67, Safer SAF-BP2MP20F28(U)",45.00
"Camera de supraveghere exterior Safer, 2MP Full HD, 2.8mm, Full Color LED alb 20m, IP67, SAF-BP2MP20F28-LED(U)",52.00
"Camera dome FULL HD, 2 Megapixeli, Infrarosu la 20m, EXIR 2.0, all in one, DS-2CE76D0T-ITPF(2.8MM)C",53.91
"Camera de supraveghere dome, 4 in 1, 2MP, lentila fixa 2.8mm, Smart IR 20m, Hikvision, HWT-T120-P",55.00
"Kit adaptor pentru alimentarea camerei de bord MINI, DDPAI HARDWIRE-KIT-MINI",55.00
"Camera Dome cu microfon, Turbo HD, 2MP Full HD Hikvision DS-2CE76D0T-ITPFS(2.8MM)C, IR 20m cu EXIR 2.0",56.00
"Camera analogica cu rezolutia de 2 MP Full HD, lentila 3.6mm, IR 25m, 4 in 1, Hikvision DS-2CE16D0T-ITPF(3.6mm)(C)",57.00
"Camera de supraveghere Hiwatch HWT-T120-M(2.8MM), 2MP Full HD, 2.8mm, IR 20m, IP66",59.99
"Camera de supraveghere Dome, 2MP Full HD, Smart IR 20m, lentila 2.8mm, Safer SAF-DP2MP20F28(C)",60.00
"Camera bullet, 2 MP HDCVI, Smart IR 20 m, lentila 3.6mm, Dahua, HAC-B1A21-0360B",62.00
"Camera de supraveghere pentru exterior, 2K 5MP, 2.8mm, IR 20 metri, HDCVI, IP67, Safer SAF-BP5MP20F28(U)",62.00
"Camera dome HDCVI, 2 MP, IR 20 metri, lentila 2.8mm, Dahua, HAC-T1A21-0280B",63.00
"Camera supraveghere Dome Dahua, IR 25 m, 2 MP, 2.8 mm, HAC-HDW1200TRQ-0280B",66.00
"Camera de supraveghere dome, 2 MP, smart IR 30 m, 2.8 mm, Dahua, HAC-HDW1200TRQ-A-0280B",67.00
