Product,Price
Adaptor RCA tata la 2 RCA mama MONO,1.99
"Adaptor Jack 3.5 tata la 2 x Jack 3.5 mama STEREO, ZLA0293",1.99
"Adaptor Jack 6.3 tata RCA mama MONO, ZLA0288",1.99
Adaptor RCA mama la 2 X RCA mama MONO,1.99
"Adaptor Jack 6.3 Tata la Jack 3.5 Mama Stereo, ZLA0324",4.99
"Cablu adaptor Jack 6,3 tata la Jack 3.5 Mama, Stereo, A-63M35F-0.2M",7.99
"CABLU audio Jack 3.5 Tata la 2 RCA mama, Stereo, CCAP-RCAM2F-0.2M",7.99
"Cablu audio 3 metri 2 RCA Tata la 2 RCA Tata, KPO4001-3.0",8.99
"Cablu 2RCA/2RCA Gold 3M, CA3RR",9.00
"Adaptor Jack 6.3 Tata - XRL Mama, ZLA0313-2",9.99
"Cablu audio 5 metrii 2 RCA Tata la 2 RCA Tata, KPO4001-5.0",11.99
"Cablu audio 5M Jack 3.5 Tata la 2 RCA Tata Stereo, CA5JR",12.99
"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10",12.99
"Cablu microfon XLR mama la Jack 6.3 tata 3 metri, KPO2757-3",25.99
"Cablu pentru microfon, XLR Mama, Jack 6.3 Tata, 5M, KPO2757-5",31.99
"Cablu audio 3M 2 RCA Tata la 2 XLR Tata Stereo, CM3RX-2",32.99
"Cablu audio 3M 2 RCA la 2 Jack 6.3 Mono, CM3RJ-2",39.99
"Cablu audio XLR Mama - XLR Tata, lungime 5 metri, Negru, CM5XXF",39.99
Set boxe lemn 6W (2X3W) alimentare prin USB Spacer SPSK-201-WD,39.99
"Boxa incastrabila pentru tavan, 13 cm, 6 W, 89 dB, Power Dynamics, CSPB5",43.99
"Cablu difuzor speakon/speakon 5 metri, CS5SS",49.99
"Cablu audio 10M XLR Tata la XLR Mama, CM10XXF",49.99
"Microfon lavaliera, cu cablu, Intrare Jack 3.5mm, clema de prindere, OPMLLCB",54.99
"Cablu audio Speakon tata - Jack 6.35 tata, lungime 10 m, negru, KPO2759-10",57.99
Set boxe PC 2.1 6W + 5W SPACER - SPB-807 Negre,59.99
Set boxe PC 2.1 6W + 5W SPACER - SPB-807 Albe,59.99
"Difuzor incastrat 100V, 10W, 6.5"" CSPB6",61.00
"Microfon audio DM 604, cablu XLR - Jack 6.3, 600 Ohm, MIK0003 Rebel",68.99
"Cablu difuzor jack/speakon 10 metri, CS10JS",68.99
"Potentiometru volum 30W, PA 100V, VC30R BST Pro AR30",79.99
"Cablu difuzor speakon/speakon 10 metri, CS10SS",79.99
Cablu 10 m cu conector de tip m12 Autone ATE-AVIA/AVIA-10M,82.99
"Difuzor PA 100V incastrabil tavan, 15W, 8 ohm, 91 dB, VoiceKraft, VK 611 SW",84.99
"Megafon 20W, cu acumulator reincarcabil, functie de inregistrare, MEGA20W",85.99
"Microfon cu trepied, reglabil, jack 3.5mm, cablu 1,8m, VARR VGMM",89.99
"Microfon unidirectional 400 Ohm, cablu XLR inclus, BST MDX50",92.99
"Kit microfon gaming, filtru cos trepied VARR, VGMSB",94.99
"Cablu difuzor jack/speakon 15 metri, CS15JS",95.29
Microfon conferinta cu stativ pentru anunturi MH35A,96.99
"Microfon dinamic, 74dB, 600 Ohmi, cablu 5m, XLR, REBEL MIK0002",99.99
"Microfon dinamic 74dB Rebel, MIK0004",99.99
RECEIVER audio bluetooth TP-LINK HA100,107.99
"Cablu difuzor speakon/speakon 15 metri, CS15SS",116.99
"Potentiometru pentru volum compatibil cu sistemele Public Adress 100V, PDVC100",117.99
"Microfon USB, cu trepied si filtru REBEL, KOM1052",119.99
"Boxa de perete 10W,100/70V, 160Hz-18000Hz, terminale 3W /6W /10W DSPA106II",123.99
"Microfon pentru sisteme de conferinta, Profesional, Pozitie Reglabila, Cablu XLR inclus, BST GM20",129.99
"Potentiometru volum pentru sisteme audio PA 100V, 50W, 952.570",131.99
"Difuzor incastrat 100V, 15W, 8"" CSPB8 Power Dynamics",132.99
Microfon conferinta cu stativ pentru anunturi MH805,139.99
"Difuzor 30W, Public Adress, pentru amplificatoare de linie 100V, BST PROAP1410",139.99
"Difuzor incastrabil tavan 6.5 inch 2 căi, 100V, 30W, CSAG6T",139.99
"Cablu difuzor speakon/speakon 20 metri, CS20SS",140.99
"Difuzor incastrabil in tavan, 100V, 2 cai, 20W RMS, 5.25"", alb, Power Dynamics, NCSP5 (952.604)",149.99
"Boxa tavan incastrabila, 10W, 100V, SAL, CES3",154.99
"Proiector de sunet 6 inch / 15 cm 20W IP65, AP2320",169.99
"Difuzor de tavan 6W, rezistent la foc DSSPA, DSP602",179.99
"Kit microfon wireless, cu un microfon + o lavaliera wireless MS-106V/HB",180.99
"Difuzor incastrabil in tavan Power Dynamics FCS5, 100V, RMS 20W, 5.25"", 80W",183.99
"Difuzor incastrabil tavan 8 inch 2 căi, 100V, 40W, CSAG8T",190.99
"Mixer pentru 2 canale, crossfader, usb, Bluetooth, 2x Line IN, Ibiza Sound MIX500BT",191.99
"Difuzor LTC 80W pentru exterior, rezistent la apa, 4 Ohm, 147 diam. x 74mm, Swr5004",199.99
Microfon lavaliera wireless Azusa,199.99
"Proiector sunet 6.5 inch, 8ohm, 20W, Power Dynamics PSP6",202.99
Suport reglabil pentru laptop si mixer,206.99
"Mixer 2 canale, 200mW, Bluetooth, USB, RCA, MP3, intrare microfon, VONYX STM500BT",215.99
"Set boxe 100V - 20W Negru pentru perete, BC30V",219.99
MICROFON CONFERINTA STATIV 80CM,224.99
"Difuzor LTC 120W pentru exterior, rezistent la apa, 4 Ohm, 6""/16CM-120W, SWR6004",229.99
Difuzor Public Adress suspendat 6W 100V ITC T-200,239.99
"Boxa de gradina PA 100V, 30W, Protectie IP45, culoare verde - camuflabila, GS530",249.99
