Product,Price
Baterie CR2016 pentru telecomenzi REBEL EXTREME BAT0194,2.90
"Capac brat bariera compatibil cu bariera Boomx PRO 100, YK-BAR1H/CAP",4.20
Distantier cu surub pentru cremaliera metalica CAVRN3,4.20
"Baterie CR2032 pentru telecomenzi automatizari de porti LIFE DREAM, MULTI 2120, SAFER 2128.",4.71
"Baterie CR1220 Phillips, blister 1 bucata",5.00
"Suport fotocelule, incastrabil , LIFE AREC",5.25
"Baterii alcaline 1.5V AA-LR6 / BLISTER, 4 baterii in SET, BAT0061B",5.25
"Baterie alcalina pentru telecomenzi LIFE, Varta 12V LR23A",5.76
"Baterie CR2016, blister 2 buc, pentru telecomenzi, Varta, BAT0240",6.50
"Baterie Lithiu CR2450 Blister 1 BUC PHILIPS, PH-CR2450-10B",8.50
Cheie/Levier Deblocare RG20815S Pentru Automatizari Comunello RAM,13.00
"Rola de ghidaj superioara pentru sisteme de culisare, din teflon ROLA P",17.00
"Bec 230V galben 25W pentru automatizari de porti, 5RI1980000",17.00
"Suport lateral lampa semnalizare LIFE, ASP",17.85
"Set suruburi si saibe pentru montarea cremalierei crm4, 6x25mm, 60 buc/set, 2AS3060000",17.98
"Protectie de cauciuc pentru bariera, Lungime 1 metru, King Gates XBA13-1M",20.00
Capat sina C65,21.00
"Suport pentru prindere orizontala, compatibil cu KATO 305 RWA 24V-ALB, 4010040B",24.00
"Suport pentru automatizare desfumare KATO 305 RWA 24V-NEGRU, 4010040N",24.00
Opritor mecanic inalt incastrat,25.00
Suport fixare pentru fotocelule VISIO LIFE si control acces WI,25.00
"Telecomanda suplimentara 2 butoane, WBK-400A-2",26.00
"Opritor aplicat zincat pentru porti batante PICOLO, 380 F/P",26.00
"Capac brat OPTIMO2/OPTIMO 3 SKYLINE, LIFE 5RI2090000",26.00
"Capat din metal galvanizat pentru sina C65, EC65",27.00
"Opritor mecanic pentru porti batante Combi Arialdo GRANDE, 380 F/G",29.00
"Carcasa pentru panou reflector, MFSE",32.00
"Rola culisanta, profil Y, latime 20mm, FI80VA/1",32.00
"Rola culisanta, profil U, latime 20mm, diametru 78mm, FI80UA/1",32.00
Rola incastrabila profil Y culisare la sol FI80VI/1,33.00
"Cheie deblocare manuala pentru automatizarile LIFE OPTIMO2, OPTIMO3",35.00
"Cremaliera insertie metalica 1m pentru porti culisante, CRM4",35.00
"Rola de capat cu protectie din cauciuc, fixare cu surub pentru sina C75, EC75",36.00
"Rola culisanta, profil V, 25-2080Y",36.00
"Opritor pentru porti culisante, gol de 40mm, GHIDFIX40",36.00
"Opritor pentru porti culisante, gol de 60mm, GHIDFIX60",36.00
"Rola incastrabila profil V Fi80 culisare la sol, culoare neagra",39.00
"Cremaliera metalica zincata, lungime 1m, Grosime 10mm, pentru automatizari culisante, CRMACC",39.00
"Margine cauciucata pentru bratele de bariera, YK-BAR-GAR-bk",41.00
"Piulita piston pentru brat automatizare LINO400 si LINO600, LINO100828",43.00
Telecomanda suplimentara pentru bariera YLI,47.00
"Bec LED, 24V, E14, 1.5W, 3000K, pentru lampi de automatizare, 5RI2000100",49.00
"Panou reflector pentru bariere, MIRROR-MFE",50.00
"Opritor mecanic cu cauciuc, 382P",51.00
"Placa de montaj ajustabila, compatibila cu carucioarele din kitul C65H si C65H+, AP60-65",51.00
Capac spate pentru motor brat Optimo Sky Line 5RI3560000,53.00
"Ghidaj cu rama pentru usi, 30-60mm, pentru podea, VZ-FG01/30-60",54.00
Ghidaj cu rama pentru usi cu grosime pana la 25mm VZ-FG01,54.00
"Suport pentru automatizare desfumare KATO 305 RWA, 4010038B",55.00
"Suport pentru automatizare desfumare KATO 305 RWA 24V-NEGRU, 4010038N",55.00
"Placa de montaj ajustabila compatibila cu C75, G75-8, AP75",56.00
"Set fotocelule 20m, 12-24V, NO/NC SAF-A20",57.00
"Fotocelule pentru automatizarile Linomatik, ABO-20L",57.00
"Telecomanda automatizare Motorline, FALK 4 canale",57.99
"Rola incastrabila profil U Fi80 culisare la sol, culoare neagra",58.00
"Rola aplicata profil U Fi80 culisare la sol, culoare neagra",58.00
"Rola aplicata profil V Fi80 culisare la sol, culoare neagra",58.00
"Encoder pentru automatizari de porti Optimo3, Optimo3UNI si Optimo5, 5RI0950000",59.00
Encoder pentru automatizari de porti Optimo3 si Optimo5 5RI0940000,59.00
"Opritor mecanic pentru automatizare Optimo 3 UNI, Optimo5, LIFE, 5RI2750001",59.00
"Opritor capat de cursa, optimo2/optimo3 sky, Life, 5RI1730000",60.00
Opritor zincat pentru sina C65 feronerie autoportanta in consola,61.00
"Set receptor radio si telecomanda 24V automatizari porti 1 canal, WBK-401-1-24",63.00
Antena pentru automatizari de porti LIFE,63.00
"Limitator cursa deschidere, STOP",64.00
"Receptor radio pentru telecomenzi Linomatik, 433.92 MHZ 12 V/24 V",64.00
"Roata profil V cu suport exterior FI80, 412/80",65.00
Rola incastrabila profil V Fi80 culisare la sol,65.00
Set telecomanda si receptor radio automatizari porti 1 canal 12V WBK-401-1-12,65.00
Placa de ghidaj superioara 2 role,66.14
"Angrenaj motor Optimo2/Optimo3 Skyline, 5RI1710000",67.00
"Maner usa de garaj, dublu",68.00
"Lampa de semnalizare pentru automatizare de porta Linomatik 230V, V2-14B0008",69.00
Telecomanda automatizare Beninca - Compatibila,69.00
"Telecomanda cu 2 butoane LIFE DREAM-AZZ, 433.92MHz, compatibila cu toate automatizarile Life",69.00
"Telecomanda 2 butoane LIFE, DREAM",69.00
"Telecomanda 4 butoane automatizari de porti LIFE, DREAM04",69.00
"Telecomanda cu 4 butoane, 433.92, Tehnologie Rolling Code, compatibila cu automatizarile Linomatik, Lino4RC",69.00
"Ghidaj superior 2 role, GS85-2",69.00
"Telecomanda cu 3 butoane pentru automatizari, compatibila cu UR01, RC06",69.00
Rola de sustinere pentru sina C65,72.00
"Prindere brat pentru automatizarile OPTIMO3 / OPTIMO5 de suportul de poarta, Life 5RI1060000",73.00
"Suport pentru stalp compatibil cu automatizarile Life OPTIMO3 si OPTIMO 5, 5RI1040000",73.00
"Opritor capat de cursa inferior, galvanizat HC75",73.00
Telecomanda clona pentru automatizarile LIFE BRAVO2,74.00
"Telecomanda compatibila Ditec, Nice Flor-s, V2",75.00
"Suport prindere stalp OPTIMO2, 5RI1800000",75.00
Telecomanda pentru automatizari LIFE MAXI02-BROWN,75.00
"Sina U, 2.90 metri aplicata pentru culisare la sol SINAU2.9M",77.00
"Telecomanda pentru automatizari de poarta Life cu 2 taste, MAXI02-BLUE",77.00
Lampa semnalizare pentru automatizari de porti LED 230V,78.75
"Telecomanda 4 butoane, pentru automatizare de poarta, LINOMATIK LINO4TR",79.00
"Set fotocelule LINOMATIK pentru automatizari de porti, P5200",79.00
Set fotocelule pasive 12V-24V 20m range orientare 15 grade,79.00
"Telecomanda Victor 4 taste pentru automatizari de porti Comunello, GVCTR4STN0G00",79.99
"Rola de sustinere, (21/75) pentru C75 galvanizat",81.00
Telecomanda 4 butoane KING GATES - STYLO 4K,82.00
Lampa de semnalizare 220V pentru automatizari Life,82.95
"Kit panou reflector pentru bariere si carcasa, KITMIRROR-MFE+MFSE",82.99
Fotocelule de siguranta pentru automatizarile Linomatik FTG180,84.00
"Set radiocomanda cu un receptor si o telecomanda, WBK-401-2-12/24",84.00
"Telecomanda 2 canale, Rolling code, 433.92 Mhz, pentru automatizari Comunello, VICTOR 2 RC, GVCTR2STN0G00",85.00
Selector cu cheie LIFE pentru automatizari de porti,89.00
"Telecomanda cu afisaj unidirectional, 4 butoane, 433.92MHz, Rolling Code, pentru automatizarile Linomatik, Lino5TR",89.00
"Set fotocelule compatibile cu automatizarile de porti LINOMATIK, PC02",89.00
"Telecomanda pentru automatizari de poarta Life cu 4 taste, MAXI04-BLUE",90.00
"Telecomanda 2 butoane pentru automatizari Life, FIDO2",90.00
"Limitator de cursa electromecanic compatibil cu automatizarile Life ACER, 5RI2480000",90.00
"Releu wireless deschidere automatizare din telefon, Smart Life, Tuya, Rehent, RH-GD03",90.00
"Buton aplicabil cu cheie, sistem revenire automata, contact de tip NO si NC, 16A 240V, pentru interior, negru, YKS-803D2",93.00
"Piesa de schimb, suport poarta OPTIMO2, 5RI1790000",93.00
Lampa de semnalizare 24 V pentru automatizari LIFE,93.45
"Carcasa pentru motor ACER400 / 600 / 800, 5RI2530000",94.00
"Carcasa de protectie pentru ax melcat al automatizarii OPTIMO2, 5RI1780000",94.00
"Deblocator manual cu cheie pentru OPTIMO 3, OPTIMO5, 5RI0930000",94.00
Consola ghidaj superior 4 role GS85-4,94.00
"Tastatura wireless pentru automatizarile Linomatik 433.92Mhz, WK02",94.00
Telecomanda pentru receptorul de 500 Metri 2 canale,94.49
"Telecomanda universala pentru automatizari cod saritor sau fix V10 WHY EVO, Rosie, WHYEVOV10-R",94.50
Lampa semnalizare automatizari King Gates 24V IDEA 24 PLUS,95.00
"Kit simering pentru automatizarile King Gates Linear, 1722C4",96.00
Set fotocelule King Gates VIKY30,97.00
"Telecomanda automatizare LIFE, FIDO4",99.00
"Transformator monofazat Comunello RG20030X, compatibil cu automatizarile Fort si Condor",99.00
"Capac transparent pentru bariera Comunello Limit 500, RG20408T",99.00
Deblocator cu cheie pentru motoare Acer LIFE - generatie veche,100.00
Deblocator cu cheie pentru motoare Acer LIFE - generatie noua,100.00
"Modul de tip Receiver pentru placa de control, 4 canale pe 433 Mhz, pana la 1000 telecomenzi, Rolling code, MR2-K",102.00
"Buton aplicabil cu cheie, sistem revenire automata, contact de tip NO si NC, 16A 240V, pentru interior, Alb YKS-803D1-WH",102.00
Detectorul cu ultrasunete pentru verificare loc de parcare gol PL-PJ30D,105.00
"Suport poarta OPTIMO3/5, 5RI1030000",105.00
"Telecomanda 2 Butoane Beninca TO.GO2VA, frecventa 433,92 Mhz",109.00
"Set suporti metalici de fixare pentru automatizarea LINEARK50024, KING GATES 1722C6",109.00
"Carcasa pentru brat de automatizare Optimo 2, 5RI1770000",109.00
Extensie sina 1M pentru automatizarile de garaj Linomatik,109.00
Telecomanda 4 butoane automatizari Proteco PTX4P1I,110.00
"Telecomanda automatizare porta cu 2 butoane, Beninca TO.GO2AK",113.00
"Sina U , 3 metri aplicata pentru culisare la sol",114.00
Telecomanda universala Why Evo pentru automatizari de porti,114.00
Telecomanda 4 Butoane Beninca TO.GO4VA,115.00
"Suport pentru brat bariera cu inaltime variabila 78-103cm, din metal, alb, YK-BAR-SB-wh",115.00
"Receptor radio 1 canal - MINI, LIFE SUNR1E",115.00
Lampa de semnalizare pentru automatizarea de porta Linomatik 12-24V sau 230V FSHALFA24-230,118.00
"Lampa de avertizare Linomatik 12V AC / 24V DC / 230V AC pentru automatizari porti, FL01",118.00
Receptor King Gates RXK1,119.00
"Lampa pentru automatizari de porti COMUNELLO, SWIFT 24VDC/230Vac",119.00
"Selector cu cheie pentru automatizari de porti, INDEX, Comunello GINDEXSTN0B00A",119.00
Suport brat de bariera fix,120.00
"Margine cauciuc bariera 8M, SUC1 8M",123.00
Modul incarcare baterie suplimentara King Gates,124.95
Lampa automatizare de poarta 24V LIFE SUNLED ITALIA,125.00
Lampa automatizare de poarta 230V LIFE SUNLED ITALIA,125.00
Angrenaj pinion OPTIMO2 5RI1740000,127.00
"Pinion Life pentru automatizari de poarta Optimo2 si Optimo3 Skyline, 5RI1720000",127.00
"Antena Life pentru automatizari de porti, Life, SKANT",127.00
"Detector single, bucla inductiva, pentru prezenta autoturisme la sisteme de parcare, sensibilitate reglabila, ACM705A(24V)",129.00
"Encoder dublu pentru automatizarea de garaj Life VIS, 5RI3010000",129.00
"Receptor telecomenzi Linomatik, un canal, 433.92Mhz",129.00
Modul incarcare baterie suplimentara OPTIMO 2,132.00
"Modul Back-up pentru placa OPTIMO 2 NEW, LIFE AGECH2",134.50
"Sistem de transmisie curea, compatibil cu automatizarile Life PROBO PR120 XL si PR100 XL, 5RI1630000",135.00
"Pinion de interior pentru automatizare poarta culisanta Life ACER 400 si Acer 600, 5RI2600000",135.00
Detector de bucla inductiva 1 Bucla,136.50
Modul de backup pentru bariere Life Supra AGECH XL,138.00
"Fotocelule pentru automatizari de porti, DART-SLIM, Silver, Comunello",139.00
"Capac imbinare pentru brat bariera KING GATES NUUR4, KG163681",139.00
Set 4 cremaliere insertie metalica,139.99
"Protectie usa pietonala, Linomatik, Lino 1SDPROT",140.00
"Protectie usa pietonala, Linomatik, Lino 2SDPROT",140.00
"Pinion OPTIMO3/OPTIMO5, 5RI0920000",140.00
Receptor radio 2 canale FREDDY2 de la KING GATES,142.00
"Set fotocelule VISIO LIFE, VISIO",142.00
Ax melcat OPTIMO 3 SKYLINE,143.00
"Fotocelule pentru automatizari de porti, DART-SLIM, Comunello",144.00
"Telecomanda cu agatatoare pentru parasolar, 2 butoane, Tehnologie Rolling Code, 433.92MHz, Linomatik Lino2SUN",147.00
"Deblocator pentru automatizarea batanta Life Armor, 5RI1360000",149.00
"Sina V, 3 metri, aplicata, culisare la sol",149.00
"Receiver Radio 2 canale, Comunello",149.00
"Telecomanda cu agatatoare pentru parasolar, 3 butoane, 433.92MHz, Tehnologie Rolling Code, Linomatik Lino1SUN",150.00
"Extensie sina pentru automatizarea PROBO PR120 XL, Life PRC12",152.00
MARGINE CAUCIUC BARIERA 10M,155.00
"Modul Wi-Fi universal cu USB, pentru automatizari de usi de garaj, Linomatik, Lino WIFI",158.00
"Suport modular life-stalp, AOP1",158.00
"Buton wireless, 433.92 MHz, Tehnologie Rolling Code, Linomatik Lino WS02",159.00
"Pinion pentru automatizarea de poarta culisanta Life ACER 400, 5RI2560000",159.00
"Set fotocelule Activa + Pasiva (oglinda), MFE",165.00
"Buton wireless, 433.92 MHz, Rolling Code, Linomatik Lino WS03",167.00
"Brat anterior automatizare Minimodus, KG172988",169.00
"Carucior in 5 role, pentru feronerie, poarta autoportanta in consola, G65-5",169.00
"Piston scurt pentru automatizari de poarta batante King Gates, SPAMG208A00A",175.00
Piston de schimb 1722B9 pentru LINEARK40024,175.00
"Motor Optimo2, 5RI1700000",175.00
"Arbore angrenaj intern pentru automatizarile de porti culisante Life Acer, 5RI2570000",179.00
