Product,Price
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, albastru, Logilink MP0008",0.25
"Mufa RJ45 UTP / FTP, 8 pini, cu ecranaj metalic, CAT5E, TEL0005A",0.38
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP MP0035G",0.84
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP, Cat6, MP0035R",0.95
"Distribuitor alimentare 2 iesiri TATA, C2",1.79
"Patchcord S/FTP Cat 6A, 0.25M, Gri, SAFER, SFTP6A-0.25M",2.89
"Patchcord S/FTP Cat 6A, 0.25M, Rosu, SAFER, SFTP6A-0.25M-R",2.89
"Patchcord S/FTP Cat 6A, 0.25M, Negru , SFTP6A-0.25M-BL, SAFER",2.89
"Patchcord S/FTP Cat 6A, 0.5M , Gri, SFTP6A-0.5M, SAFER",3.19
"Patchcord S/FTP Cat 6A, 0.5M, Negru , SFTP6A-0.5M-BL, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Albastru, SFTP6A-0.5M-B, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Verde , SFTP6A-0.5M-G, SAFER",3.39
"Patchcord S/FTP Cat 6A, 1 Metru, Verde, SFTP6A-1M-G, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Albastru, SFTP6A-1M-B, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Rosu, SFTP6A-1M-R, SAFER",4.29
"Cablu 4 iesiri alimentare TATA, C4",5.29
"Alimentator camera supraveghere 12V 1A in comutatie, AT 12V1A",5.80
"Cablu de alimentare AC pentru surse SMPS, ACC2",6.56
"Cablu splitter alimentare 5 iesiri TATA, C5",6.90
"Patchcord S/FTP Cat 6A, 2 Metri, Rosu , SFTP6A-2M-R, SAFER",6.99
"Cleste pentru sertizat cabluri de retea in priza sau patchpanel, KRONE ISDN-0018",7.50
"Alimentator camera supraveghere 12V 2A in comutatie, AT 12V2A",7.80
"Cablu alimentare calculator, UPS, monitor, sursa, lungime 1.2M, CABALIM1M",8.00
"Patchcord S/FTP Cat 6A, 3 Metri, Verde, Safer SFTP6A-3M-G",8.30
