Product,Price
"Suport pentru telecomanda SMART HOME SONOFF, RM433-BASE",9.55
"Suport de perete sau baza pentru senzor de miscare Sonoff, SON-KIE-BASE",9.90
"Carcasa modulara Gewiss GW27004, clasa izolatie II, IP40, IK07",11.50
Suport de sina DIN Sonoff DR,11.50
"Filtru HEPA pentru robot de aspirare RV-L11-A, set 2 bucati, RVPD1-2 IMOU",13.00
Carcasa rezistenta la apa pentru SONOFF,15.02
"Telecomanda pentru controlul dizpozitivelor conectate la Sonoff Birdge, SmartWise SON-KIE-RF4CR",15.18
"Senzor de temperatura pentru exterior, cu mufa RJ9, compatibil relee SonOff, DS18B20-RJ9",22.00
"Perie laterala pentru robot de aspirare RV-L11-A, set 2 bucati, RVPC1-2 IMOU",22.00
"Adaptor cu posibilitate montare in sina DIN pentru Shelly 1 si Shelly 1PM, DIN-SHE1-MINI",24.99
"Shelly Bypass, accesoriu pentru Shelly 1L si Shelly Dimmer 2, ALL-KIE-BYP",27.00
"Laveta mop reutilizabila pentru robot de aspirare RV-L11-A, set 2 bucati, RVPF1-2 IMOU",27.00
"Perie principala pentru robot de aspirare RV-L11-A, RVPB1-1 IMOU",27.00
"BEC Smart Wi-fi Ezviz LB1 CS-HAL-LB1-LWAW, Culoare calda 2700K, 806Lm, Control Vocal din telefon, Dimabil",28.00
"Contact magnetic wireless pentru usa sau fereastra, SMART, Sonoff DW2 WIFI",29.58
"Telecomanda SONOFF RM433, 8 butoane, pentru smart home",30.00
"Releu inteligent WiFi, 2300W, 10A, Sonoff SONOFF BASIC R2",30.00
Senzor de temperatura si umiditate SONOFF,31.00
"Releu wireless Sonoff MINI R2, 10A, compatibil cu Google Home, Alexa, SONOFF MINI R2",34.00
"Bec inteligent Imou B5, 16 milioane de culori, 2.4G Wi-Fi, Control din aplicatie, Compatibilitate cu Alexa, Google Assistant, CL1B-5-E27",35.00
"Intrerupator inteligent 1 canal SmartWise SMW-KAP-RF1, wireless, 433MHz, compatibil cu intrerupatoarele Sonoff T1, T2, T3",35.00
"Adaptor pentru DIN compatibil Shelly 2.5 si Shelly EM, DIN-SHE25-MINI",35.99
"Releu Smart, cu Wi-Fi, 2400W, 10A, compatibil cu aplicatia mobila Tuya, Google, Alexa, Safer REL1TU",37.00
"Intrerupator inteligent 3 canale SmartWise SMW-KAP-RF3, wireless, 433MHz, compatibil cu intrerupatoare Sonoff T1, T2, T3",38.00
"Releu wireless 10Ah compatibil Tuya, Gosund SW3",39.00
Senzor de miscare cu transmisie Wireless Radio 433 Mhz SONOFF-PIR3-RF,39.00
"Tag de proximitate Ezviz, functie anti-copiere, 13.8-14.4MHz, viteza comunicare 106kbps, material ABS, CS-DL-IC-CPU-R200 (GR)",40.00
"Adaptor sina DIN pentru controlerul inteligent Shelly Dimmer si Shelly Dimmer 2, DIN-DIM-MINI",43.00
"Priza Wifi inteligenta, control WiFi din aplicatia Tuya, NEO NAS-WR10W6",43.00
"Adaptor cu posibilitate montare pe sina DIN pentru Shelly PLUS 1 si Shelly PLUS 1PM, DIN-PLUS -MINI",43.00
"Senzor Temperatura Umiditate Xiaomi Mi Monitor 2, alb NUN4126GL",43.00
"Releu inteligent WiFi, 2300W, 10A, 433 Mhz, Sonoff, SONOFF RF R2",43.00
"Set 2 becuri inteligente RGB Gosund WB4 2pack, Wi-Fi, Tuya, Alexa, Google Home, Dimabile, 800 Lm, Temperatura reglabila, WB4-2pack",43.00
"Intrerupator inteligent compatibil cu Hubul Xiaomi, Mi Wireless Switch, YTC4040GL",43.00
"Pachet Sonoff Basic cu carcasa IP 66, SONOFFBASICIP66",44.99
"Senzor de temperatura si umiditate compatibil cu HUB Xiaomi si Aqara, Zigbee, YTC4042GL",46.00
"Bec Tp-Link, Wi-Fi, inteligent, reglare intensitate lumina, L510E",47.00
"Lampa de veghe Xiaomi Motion Activated Night Light 2, 3Lm/25Lm, lumina alba, MUE4115GL",48.00
"Adaptor pentru DIN compatibil Shelly 1 si Shelly 1PM cu posibilitate montare ALL-KIE-TEMP, DIN-SHE1TEMP-STD",49.00
"Senzor de inundatie compatibil Sonoff RF Bridge, comunicare wireless 433 MHz, functionare cu baterie, SMW-KIE-WAT",49.99
Sonoff Dimmer Switch D1,50.00
"Priza inteligenta, Wi-Fi, TUYA, Compatibil cu Alexa, Google Home, Yandex Alice, Avatto, OT02-EU-W",50.00
"Senzor / Contact magnetic wireless, 55mA, cu Wi-Fi, compatibil cu Tuya Smart, Google, Alexa, Safer MC-TU",50.00
"Bec Tp-Link, Wi-Fi, inteligent, Multicolor L530E",51.00
"Contact magnetic / senzor pentru usa sau geam, Wireless Zigbee, Xiaomi ,YTC4039GL",52.00
"Set 6 saci pentru robot de aspirare RV-L11-A, RVPA1-6 IMOU",53.00
"Laveta mop pentru robot de aspirare RV-L11-A, set 30 bucati, RVPE1-30 IMOU",53.00
"Led Wifi RGB 8W, 6500K+RGB compatibil Tuya dulie E27 Gosund WB4",55.00
"Priza inteligenta, Wi-Fi, control vocal, 2500 W, 10 A, Imou, CE1",55.00
"Senzor de inundatie SMART, independent, cu aplicatie telefon, Wi-FI Tuya /SMARTLIFE RH-AFS03",55.00
"Buton de panica wireless, protocol Zigbee, notificari push in aplicatie, indicator stare baterie, montare usoara, IMOU IOT-ZE1-EU",56.00
"Bec inteliget ALB cald/rece, XIAOMI Mi Smart LED Bulb White 8W/E27 GPX4026GL",56.00
Extensie 5 metri Banda Led RGB pentru seria Sonoff L1,56.00
"Led Wifi pentru Smart Home, 16 milioane de culori, temperatura 6500K+RGB",57.00
"Detector fum Smartwise SMOPRO-RF-R2, 433MHz",58.00
"Senzor Smart detectie scurgeri de apa, Wireless, protocol Zigbee, notificari push in aplicatie, consum redus, IP66, IMOU IOT-ZL1-EU",59.00
Releu Wireless doua canale 10A SONOFF DUAL R3,59.99
"Transformator de curent, Shelly, 50A, pentru Shelly EM, ALL-KIE-SC50",60.00
"Extensie banda LED RGB, 5 metri, pentru SONOFF L1, RGB 5050",60.00
"Buton Wireless pentru Sonerii Honywell DCxxx, pana la 200m, 868Mhz, IP55,DCP311",62.00
"Releu inteligent Ezviz CS-T35, Wi-Fi 2.4 GHz, 1 canal",62.00
"Priza Wifi cu temporizare si monitorizare consum, control WiFi din aplicatia Tuya",62.00
"Senzor de usa / fereastra cu magnet, Wireless, protocol Zigbee, alarma de declansare, IMOU IOT-ZD1-EU",65.00
"Senzor de tip Contact magnetic inteligent, pentru usa / geam / sertar, Wi-Fi, Compatibil cu aplicatia Tuya, cu baterii, RH-ACS02",65.00
"Adaptor pentru sina DIN compatibil Shelly 2.5 si Shelly EM, DIN-SHE25-DUP",66.00
"Adaptor dublu cu posibilitate montare pe sina DIN, pentru Shelly PLUS 1 si Shelly PLUS 1PM, DIN-PLUS-DUP",66.00
"Adaptor dublu cu sina DIN pentru Shelly Dimmer si Shelly Dimmer 2, DIN-DIM-DUP",66.00
"Adaptor dublu pentru DIN compatibil cu releele Shelly 1 si Shelly 1PM, DIN-SHE1-DUP",66.00
Bypass dimmer Fibaro FGB-002 Dimmer Bypass 2,66.59
"Priza Wifi 10A cu monitorizare consum, control WiFi din aplicatia Tuya Gosund EP2",67.00
Modul wifi universal Shelly UNI,68.00
"Releu Smart cu contor de putere, 20A, Wi-Fi, afisaj LCD, control prin aplicatia mobila, Sonoff, POWR320D",68.00
"Senzor de temperatura si umiditate, Wireless, protocol Zigbee, afisaj LCD, notificari push, alarma, IMOU IOT-ZTM1-EU",69.00
"Priza Smart, cu Wi-Fi, 2300W, 240V, compatibila cu Tuya Smart, Alexa, Google, Safer SOK2USBTU",69.00
"Range Extender Wireless Xiaomi Mi Pro, 300 Mbps, 2 antene, negru, DVB4235GL",70.00
"Banda LED inteligenta RGB, Wi-Fi, control vocal, compatibila cu aplicatia Tuya, Gosund SL2",72.00
"Priza Smart T30 Ezviz, Wi-Fi 2.4GHz, Control prin aplicatia mobila, Compatibil cu Google Assistant, Alexa, material ignifug, CS-T30-10B-EU",73.00
"Telecomanda universala Imou, WiFi si infrarosu, 8000 dispozitive, IR1-Imou",73.99
"Senzor de miscare Wireless Xiaomi Mi Motion Sensor, Alb, YTC4041GL",74.00
"Bec Mi Smart LED Bulb Essential Xiaomi (Alb + Color), 9W, Wifi, 950 lm, control prin aplicatie, GPX4021GL",74.00
"Senzor de lumina integrabil in aplicatia Smart Home, Xiaomi MI Light YTC4043GL",74.00
"Releu inteligent 1 canal 8A, Shelly Plus 1PM MINI GEN3, 240VAC, Wi-Fi, Bluetooth",75.00
"Shelly PLUS PM MINI GEN3, Wi-Fi + Bluetooth smart power meter, 1 channel (16A)",76.00
Bec LED RGB dimabil Wifi Shelly Duo RGBW (E27),77.00
Intrerupator Wifi + RF incastrabil Alb 1 circuit SONOFF TX T1 EU 1C,78.00
"Priza inteligenta Tp-Link TAPO-P110, 2.4GHz, 1.64 W, Bluetooth 4.2 (onboarding)",80.00
"Senzor de miscare PIR wireless, cu baterie, protocol Zigbee, IOT-ZP1-EU",81.00
"Transformator de curent, Shelly, 120A, pentru Shelly EM, ALL-KIE-SC120",82.00
"Bec Mi Smart LED Bulb (Alb + Color), 10W, Wi-Fi, 800 lm, Xiaomi, control prin aplicatie, GPX4014GL",84.00
Intrerupator Wifi + RF incastrabil Negru 1 circuit SONOFF SONOFF-TXT3EU1C,85.00
"Priza inteligenta Xiaomi Mi Smart Plug, Wifi, 220-240V, 16A, control din aplicatie, GMR4015GL",85.00
"Detector de fum programabil WIFI, notificari direct pe telefon, RH-ASK02",85.00
"Releu smart wireless 1 canal x 16A, Shelly 1PM, masurare consum",87.00
"Comutator pentru relee inteligente, Wifi, cu un singur canal, Shelly Plus 1",88.00
"Priza inteligenta Xiaomi Mi Smart Plug Zigbee Wifi, 10A, control din aplicatie, GMR4014GL",88.00
"Senzor smart de detectie a apei Aqara T1, Zigbee 3.0, control din aplicatia mobila, baterie CR2032, IP67, WL-S02D",89.00
"Priza inteligenta 230V-16A- XIAOMI Xiaomi Mi Smart Power Plug, 22002",89.00
"Senzor de gaz metan, alarma inclusa, WI-FI Smart, notificari in aplicatie, RH-AGS01",89.00
Senzor de umiditate si temperatura Tuya - Zigbee,89.25
Intrerupator Wifi + RF incastrabil Alb 2 circuite SONOFF SONOFF-TXT1EU2C,89.90
"Senzor wireless detectare fum, montare pe tavan, cu Wi-Fi, compatibil cu Tuya Smart, Safer SMOKETU",93.00
