Product,Price
Soft pontaj Gratuit CrossChex pentru ANVIZ,0.00
"Suport ecuson, deschidere si prindere verticala, 55x90x3.5mm, CH-151V",0.80
"Cartela de proximitate RFID 125Khz Cprox, ID CARD",1.38
"Tag de proximitate RFID de tip Breloc cod secvential, IDT-2000EM",1.50
"Suport ecuson pentru carduri control acces Yli CH-001V, din PVC, prindere verticala",2.00
"Cartela de proximitate Mifare 13,56 Mhz, IDT-1001MF",2.40
"Cartela electromagnetica duala, RFID si UHF, IDT-1001EM/UHF",2.80
"Tag de proximitate Mifare, pentru videointerfon, IDT-2000MF",2.94
"Tag de proximitate cu cip MIFARE (13.56MHz), Hikvision, DS-K7M102-M",3.12
"Tag de proximitate PROGRAMABIL, RFID 125 Khz, IDT-2000EM-RW",3.20
"Eticheta autoadeziva cu CIP RFID EM4100 pe 125KHz, 0.6mm, alb, IDT-3000EM",3.25
Doza pentru montarea ingropata a economizoarelor pentru HLES-30A-TEMIC,3.40
"Doza din plastic pentru economizor, ABK-802+K(G), Yli",3.50
"Cartela de proximitate RFID (125KHz) numerotata secvential, ID CARD1",3.60
"Snur cu port pentru ecuson, retractabil, Negru, CH-425",3.60
"Cartela de proximitate Rosslare ATR14WO-001, pentru cititoare RFID 125KHz",4.59
"Tag NFC antimetal cu cip 13.56 MHz, NFC-2013-gy",5.00
"Cartela de proximitate duala RFID 125Khz si MIFARE 13,56Mhz, IDT-1001EM/MF",5.25
"Bratara de proximitate din silicon cu catarama 125Khz, verde IDT-4001EM-GN",5.40
"Bratara de proximitate din silicon, RFID 125Khz, SECUKEY Sbracelet 1 (EM)",5.50
"Cartela interfon Electra, TAG.ELT.000",5.65
"Bratara de proximitate din silicon, RFID 125Khz, SECUKEY Sbracelet 2 (EM)",5.80
"Bratara de proximitate din silicon, RFID 125Khz, SECUKEY Sbracelet 1 (EM), Albastra",5.90
"Bratara de proximitate din silicon cu catarama 125Khz, Rosie, IDT-4009EM-RD",6.88
"Bratara de proximitate din silicon cu catarama 125Khz, Albastra, IDT-4009EM-BL",6.88
"Bratara de proximitate din silicon cu catarama 125Khz, galbena, IDT-4009EM-YO",6.88
"Bratara de proximitate din silicon cu catarama metalica, 125Khz, Verde, IDT-4009EM-GN",6.88
"Adaos special inchizator, Electra ADS.S1x.INC",7.90
"Tag de proximitate pentru cititoare 125KHz, Rosslare ATR13W0-A01 TAG",7.90
"Doza cu montare aplicata sau incastrata, pentru butoane si controlere de control acces, SECUKEY, EBOX1",8.00
Cartela de proximitate MIFARE s50 pentru acces hotelier HLC-M-A,8.10
Extensie cilindru 5MM pentru yale smart D1 si D1K,8.50
Tag UHF Anti Metal ACM-UHF-M,9.45
"Cartele de acces TEMIC pentru sistem hotelier, HLC-T-K-V20",9.90
"Doza cu montare aplicata sau incastrata, pentru butoane si controlere de control acces, SECUKEY, Ebox2",10.00
Adaos pentru yala aplicata Electra ADS.13x.YEM,10.20
Buton de iesire din plastic PBK-812A,11.00
Breloc MIFARE pentru incuietoarea de apart-hotel DLK-929SS-6M,12.08
Set 3 adaosuri pentru inchizator yala Electra SET.235.INC,13.50
"Buton iesire urgenta, rosu, aparent, ACM-K3R",15.00
"Buton de iesire, aplicabil din otel inoxidabil, NO/COM, SECUKEY Cbutton 2",16.00
Extensie cilindru 10MM pentru yale smart D1 si D1K D1ACC10mm,17.50
Extensie cilindru 20MM pentru yale smart D1 si D1K D1ACC20mm,18.50
Telecomanda pentru Yala SX-12,18.90
"Suport scurt pentru yale Dorcas, DORCAS-B-X",20.00
"Suport lung pentru yale Dorcas, DORCAS-EZH-25",20.00
"Suport U pentru electromagnetul de 180Kgf cLock-2, clock2 U Bracket",20.00
"Card de proximitate standard, cu orificiu pentru prindere la chei, XSF si W26, pentru cititoare Kantech, P10SHL",20.00
