Product,Price
"Piulita inox, M8 A2, Dreptunghiulara, M8P-DR",0.85
"Piulita inox cu flansa autoblocabila M10, A2, Hexagonala, M10P-FL",0.90
"Piulita inox cu flansa autoblocabila M8, A2, Hexagonala, M8P-FL",0.97
"Surub M10x30 cap hexagonal, inox, M10X30-HEX",1.04
"Surub M8x30 cap hexagonal, inox, M8X30-HEX",1.04
"Surub M8x25 cap hexagonal, inox, M8x25-HEX",1.04
"Surub M8x30 cap imbus, Inox, M8X30-IMBUS",1.22
"Surub M8x25 cap imbus, Inox, M8X25-IMBUS",1.60
"Piullita cu fanta M8, PFM8-22X10",1.60
"Surub M8X30 cap T - BOLT, inox, M8X30-TBOLT",1.70
"Surub M10X30 cap T - BOLT, inox, M10X30-TBOLT",1.70
"Capac gri, 40 x40, plastic, pentru sine fixare panouri fotovoltaice, CAPAC40x40-G",2.28
"Capac negru, 40 x40, plastic, pentru sine fixare panouri fotovoltaice, CAPAC40x40-N",2.28
"Siguranta Auto 15A, albastru",2.75
"Placa de capat pentru prinderea panourilor solare, din aluminiu, 50x27 mm compatibil cu surub M8, SAF-FIX20",3.05
"Prindere pentru mijloc din Aluminiu, pentru panouri solare, 1 gaura M8, SAF-FIX22",3.66
Conector cablu Solar Orno MC4 4/6 mm,4.12
"Suport fixare sina pentru acoperis 100x30x40, 100X30X4-ADAPT",4.27
"Ramă 1 post , aparataj de camera cu montaj ingropat, gama Karre Plus Panasonic",4.00
"Suport capat din aluminiu pentru prindere panouri solare, 50x27 mm, compatibil cu suruburi M8, FIX27X33X44-C",4.57
"Pat de cablu 16x16mm, 2 metri cu capac",4.50
"Adaptor pentru stecher priza Anglia / Romania, ALB, UK/RO-ALB",5.00
"Adaptor pentru stecher priza Anglia la priza din Romania, UK - RO-NEGRU",5.00
"Element de fixare pentru sine 40x40, Aluminiu, FIX40X40",5.48
"Modul 3 led-uri SMD 1.5W, Albastru, IP67, Exterior",5.15
"Doza aplicata de exterior IP54 100x100, 5232H",5.25
"Conector pentru profil panouri solare, din Aluminiu, 40x40mm, SAF-FIX5",6.41
"Clema de mijloc pentru fixarea panourilor solare, prindere cu clips, surub inclus, Safer SAF-MIJLOC-CLIPS",6.59
"Clema de capat cu clips, pentru prinderea panourilor solare, surub inclus, SAF-CAPAT-CLIPS",6.59
"Rama orizontala 3 posturi, aparataj de camera cu montaj ingropat, Karre Plus Panasonic P-KPR30",6.60
"Doza derivatie 100 x 100 x 50 mm Gewiss, DOZAGEWISS",6.99
"Conector banda LED cu fir dublu V-Tac SKU-2661, 10mm",8.00
"Conector L V-Tac SKU-2662, pentru banda LED, 10mm",8.00
"Comunicator internet LAN pentru gestiune online a invertoarelor Growatt -X si XE, SHINE-LAN-X",8.92
"Rama orizontala 2 posturi, aparataj de camera cu montaj ingropat, Karre Plus Panasonic",8.50
Doza aplicata pentru aparataj,8.50
Intrerupator aplicat Panasonic IP54 VI-A1,9.50
"Rama verticala 2 posturi, aparataj de camera cu montaj ingropat, Karre Plus Panasonic",9.50
"Doza cu presetupe si suruburi 110X110X74, CUTIE110X110X74",9.90
Intrerupator cap scara Panasonic VI-ASC,10.00
"Intrerupator simplu alb normal/deschis cu montaj incastrat, IP 20, Karre Plus Panasonic",10.00
"Comutator simplu alb cu 2 butoane, montaj incastrat, IP20, Arkedia Panasonic P-A2",10.10
Surub de fixare cu piulita M10 x 250 pentru panouri fotovoltaice compatibil cu 80X30X4-ADAPT,12.21
"Clema de mijloc pentru fixarea panourilor solare, prindere cu clips, Aerocompact CLM10",12.54
"Siguranta cilindrica 1000V 15A, 10x38mm, Freder, 88-8150",12.82
"Intrerupator cap scara cu revenire, montaj incastrat, Karre Plus Panasonic",12.00
Comutator aplicat Panasonic IP54 VI-A2,12.00
Priza aplicata Panasonic VI-AS,12.00
"Rama orizontala 3 posturi, aparataj de camera cu montaj ingropat, Karre Plus Panasonic",12.00
"Clema de capat cu clips, pentru prinderea panourilor solare, surub inclus, Aerocompact CLE10",14.17
Buton sonerie alb Karre Plus Panasonic,13.00
"Inaltator Multi Rail pentru sina de fixare panouri solare, K2 2003191",14.17
"Intrerupator alb cap scara, cu montaj incastrat, IP 20, Karre Plus Panasonic",13.50
Siguranta automata modulara 10A 6kA Schrack,13.50
"Comutator simplu alb cu 2 butoane, montaj incastrat, IP 20, Karre Plus Panasonic",13.50
"Spot LED rotund cu montaj incastrat 3W, 6500 K, 160 LM, PANASONIC LPLA11W036",13.50
"Intrerupator cu LED normal/deschis cu montaj incastrat, IP 20, Karre Plus Panasonic",14.00
"Bec LED A65, soclu E27, 1250lm, 3000K, 15W, cu cip Samsung, SKU-159",14.00
"Rama orizontala 4 posturi, aparataj de camera cu montaj ingropat, Karre Plus Panasonic",14.00
"Priza simpla SCHUKO, monobloc, Karre Plus Panasonic",14.00
Aplica LED 6W montaj incastrat 3000K 360LM 12CM,14.70
Siguranta automata C6A 6kA SCHRACK,14.75
Siguranta automata modulara C16a 6kA Schrack,15.00
"Rama orizontala 5 posturi, aparataj de camera cu montaj ingropat, Karre Plus Panasonic",15.00
"Priza telefon, 1xRJ11, CAT5E, Karre Plus Panasonic",15.00
Priza TV zero Karre Plus Panasonic,15.50
Siguranta automata C32A 6kA Schrack,15.50
Siguranta automata C25A 6kA SCHRACK,16.00
"Tablou electric de tip cofret, 4 module, Montaj aparent, echipat cu sina DIN, IP40, Freder 32-300/4",17.00
"Cutie plastic cu presetupe, CUTIE180X110X75",17.00
"Priza dubla SCHUKO, Karre Plus Panasonic",17.00
Cofret 2 posturi aplicat Schrack ROPRNTO-2S,17.00
"Intrerupator alb cap cruce, cu montaj incastrat, IP 20, Karre Plus Panasonic",18.00
"Priza SCHUKO cu protectie pentru copil, Karre Plus Panasonic",18.00
"Suport fixare sina pentru acoperis metalic sau bituminos, LProfi3",19.84
"Spot LED rotund cu montaj incastrat 6W, 3000 K, 360 LM, PANASONIC",18.50
"Comutator cu LED, 2 butoane, montaj incastrat, IP 20, Karre Plus Panasonic",19.00
Siguranta automata C63A 6kA Schrack,19.00
"Intrerupator cap scara cu LED, cu montaj incastrat, IP 20, Karre Plus Panasonic",19.00
"Spot LED rotund cu montaj incastrat 3W, 4000 K, 160 LM, PANASONIC",19.00
Suport fixare sina pentru acoperis profil metalic profil trapezoidal,21.07
"Spot cu LED patrat, montaj incastrat, 6W, 3000 K, 360 LM, PANASONIC LPLA21W063",19.50
Siguranta automata C40A 6kA Schrach,19.50
"Spot LED rotund cu montaj incastrat 6W, 4000 K, 360 LM, PANASONIC",19.85
"Spot cu LED patrat, montaj incastrat 6W, 4000 K, 360 LM, PANASONIC",19.85
Intrerupator cu priza aplicata Panasonic VI-AS+I,20.00
Cofret 4 posturi aplicat Schrack ROPRNTO-4S,20.00
"Spot LED rotund cu montaj incastrat 6W, 6500 K, 360 LM, PANASONIC",20.00
"Set 5 conectori mc4 pentru instalatii fotovoltaice, SAF-MC4",21.97
"Comutator alb scara,cu 2 butoane, montaj incastrat, IP 20, Karre Plus Panasonic",20.50
"Siguranta automata 1P+N C20A 4,5kA SCHRACK",21.00
"Tablou Electric de tip cofret, 6 Module, 2 bare nul, Montaj Aparent, FREDER 32-300/6",21.00
Set conectori MC4-Y-2 pentru split cablu solar OR-PV-13609,22.89
"Spot LED patrat, montaj incastrat, 6W, 6500 K, 360 LM, PANASONIC LPLA21W066",21.00
"Intrerupator triplu alb, 3 butoane, montaj incastrat, IP 20, Karre Plus Panasonic",22.00
"Priza dubla SCHUKO cu protectie copii, monobloc, Karre Plus Panasonic",23.00
"Priza SCHUKO dubla 2P+E cu obturator protectie copil 16A 250V alb, P-AS2.COP",23.00
Priza dubla aplicata Panasonic VI-AS+S,23.00
