Product,Price
"Cartela de proximitate RFID 125Khz Cprox, ID CARD",1.38
"Tag de proximitate RFID de tip Breloc cod secvential, IDT-2000EM",1.50
"Cartela de proximitate Mifare 13,56 Mhz, IDT-1001MF",2.40
"Tag de proximitate Mifare, pentru videointerfon, IDT-2000MF",2.94
"Tag de proximitate cu cip MIFARE (13.56MHz), Hikvision, DS-K7M102-M",3.12
"Tag de proximitate PROGRAMABIL, RFID 125 Khz, IDT-2000EM-RW",3.20
"Cartela de proximitate RFID (125KHz) numerotata secvential, ID CARD1",3.60
"Tag NFC antimetal cu cip 13.56 MHz, NFC-2013-gy",5.00
"Cartela de proximitate duala RFID 125Khz si MIFARE 13,56Mhz, IDT-1001EM/MF",5.25
"Bratara de proximitate din silicon cu catarama 125Khz, verde IDT-4001EM-GN",5.40
"Cartela interfon Electra, TAG.ELT.000",5.65
"Bratara de proximitate din silicon cu catarama 125Khz, Rosie, IDT-4009EM-RD",6.88
"Bratara de proximitate din silicon cu catarama 125Khz, Albastra, IDT-4009EM-BL",6.88
"Bratara de proximitate din silicon cu catarama 125Khz, galbena, IDT-4009EM-YO",6.88
"Bratara de proximitate din silicon cu catarama metalica, 125Khz, Verde, IDT-4009EM-GN",6.88
Cartela de proximitate MIFARE s50 pentru acces hotelier HLC-M-A,8.10
"Cutie montaj ingropat din PVC, HIKVISION DS-KAB86",8.19
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Neagra, IDT-4009MF-BK",8.99
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Verde, IDT-4009MF-GN",8.99
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Rosie, IDT-4009MF-RD",8.99
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Galbena, IDT-4009MF-YO",8.99
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Albastra, IDT-4009MF-BL",8.99
Tag UHF Anti Metal ACM-UHF-M,9.45
"Cartele de acces TEMIC pentru sistem hotelier, HLC-T-K-V20",9.90
Adaos pentru yala aplicata Electra ADS.13x.YEM,10.20
"Doza derivatie audio, simpla, montaj aparent, ELECTRA, DDA.000",10.40
Breloc MIFARE pentru incuietoarea de apart-hotel DLK-929SS-6M,12.08
Set 3 adaosuri pentru inchizator yala Electra SET.235.INC,13.50
"Suport pentru videointerfon, material ADC12, Hikvision DS-KAB21-B",16.38
Legatura flexibila COPEX Electra LEG.FLX.USA,17.50
Telecomanda pentru Yala SX-12,18.90
"Card de proximitate standard, cu orificiu pentru prindere la chei, XSF si W26, pentru cititoare Kantech, P10SHL",20.00
"Tag de proximitate, Mifare, DESFire 13.56 Mhz, Negru, AJAX TAG BL",21.42
"Tag de proximitate, Mifare, DESFire 13.56 Mhz, Alb, AJAX TAG WH",21.42
"Cutie de montaj aparent cu protectie la ploaie pentru interfoanele Hikvision DS-KV6113, KABV6113-RS/S",24.56
"Cutie de protectie pentru VTO2211G, montare la suprafata, IP65, VTM09R Dahua",29.00
Adaptor video 6 - 4 fire Electra ADP.V0604.ELB,37.00
"Carcasa protectie videointerfon, otel, montaj aparent, Hikvision, DS-KABV8113-RS/S",40.82
"Carcasa protectie videointerfon, otel, montaj ingropat, Hikvision, DS-KABV8113-RS/F",40.82
"Cutie de montaj aparent pentru videointerfon scara de bloc, Dahua, VTM117",49.00
"Modul simplu pentru carcasa modulara Dahua, VTO4202F-MN",49.00
"Post exterior interfon, plastic, COMMAX DR-2D",49.35
"Amortizor pentru usi, 25-35KG, aluminiu, ACM-M59",56.00
"Cititior carduri si tag-uri Mifare potrivit pentur exterior, IP65, LED, Buzzer, Wiegand, ACM-26M-MF",63.00
