Product,Price
"Mufa pentru telefon, cu 4 pini 4P4C, TEL0001.1",0.15
"Protectie mufa RJ45 pentru cablu UTP, FTP, SFTP, albastru, Logilink MP0008",0.25
Mufa UTP 8p8c Cat6E,0.28
"Mufa RJ45, 8 pini, CAT 6E, UTP/FTP, ecranaj metalic, PLUG6SP",0.72
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP MP0035G",0.84
"Manson de protectie pentru mufa RJ45, UTP, FTP, SFTP, Cat6, MP0035R",0.95
"Fibra optica 8 fire Single Mode 1200N cu Gel monotube, SLT-NMA-SJ-8",2.00
"Cablu telefonic spiralat, lungime 2.1m, alb, TEL0032F-2.1",2.50
Fibra optica 8 fire Single Mode F8SM,2.80
"Patchcord S/FTP Cat 6A, 0.25M, Gri, SAFER, SFTP6A-0.25M",2.89
"Patchcord S/FTP Cat 6A, 0.25M, Rosu, SAFER, SFTP6A-0.25M-R",2.89
"Patchcord S/FTP Cat 6A, 0.25M, Negru , SFTP6A-0.25M-BL, SAFER",2.89
Fibra optica 12 fire Single Mode,3.00
"Patchcord S/FTP Cat 6A, 0.5M , Gri, SFTP6A-0.5M, SAFER",3.19
"Fibra optica 8 fire Single Mode 1200N cu armatura, SLT-SA-SJ-(GY12)-8",3.30
"Patchcord S/FTP Cat 6A, 0.5M, Negru , SFTP6A-0.5M-BL, SAFER",3.39
"Patchcord SFTP Cat 6A, 0.5M, Rosu, SFTP6A-0.5M-R, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Albastru, SFTP6A-0.5M-B, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Verde , SFTP6A-0.5M-G, SAFER",3.39
"Patchcord S/FTP Cat 6A, 0.5M, Galben , SFTP6A-0.5M-Y, SAFER",3.39
Fibra optica 4 fire Single Mode 1200N cu armatura,3.45
Fibra optica 4 fire Single Mode 2000N cu sufa FOSM4FSUFA,3.50
Fibra optica 12 fire Single Mode 1200N cu armatura SLT-SA-SJ-(GY12)-12,3.69
Fibra optica 8 fire Single Mode 2000N cu sufa FOSM8FSUFA,3.99
Fibra optica 24 fire Single Mode 1200N cu Gel monotube,4.26
"Fibra optica 12 fire Single Mode 2000N cu sufa, FOSM12FSUFA",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Gri, SAFER, SFTP6A-1M",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Verde, SFTP6A-1M-G, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Albastru, SFTP6A-1M-B, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Rosu, SFTP6A-1M-R, SAFER",4.29
"Patchcord S/FTP Cat 6A, 1 Metru, Galben, SFTP6A-1M-Y, SAFER",4.29
"Incarcator / Alimentator USB, 5V, 1Ah, 1AHLOAD",4.50
"Fibra optica 8 fire Multimode, 1200 N, ETK F8MM-O3",4.88
Pigtail Single Mode 2M conector SC-APC,4.90
"Set 5 buc baterie alcalina LR27A, 12V, Vipow BAT0068Bx5",5.00
"Adaptor pentru stecher priza Anglia la priza din Romania, UK - RO-NEGRU",5.00
"Baterie CR1220 Phillips, blister 1 bucata",5.00
Pigtail Single Mode 1M conector FC,5.24
"Patchcord, Cat6, cupru-aluminiu, 1 m, negru, AWG24, LogiLink, CP2033U",5.30
"Patchcord retea, CAT6, 1M, Gri, Logilink, CP2032U",5.50
"Masca pentru RJ45 ET102017 TOOLLESS LINE jack, 1M, alb, Schrack",6.00
Pigtail Single Mode 1M conector FC/APC,6.29
"Patchcord S/FTP Cat 6A, 2 Metri, Verde , SFTP6A-2M-G, SAFER",6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Galben , SFTP6A-2M-Y, SAFER",6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Rosu , SFTP6A-2M-R, SAFER",6.99
"Patchcord S/FTP Cat 6A, 2 Metri, Gri, SFTP6A-2M, SAFER",6.99
"Cleste pentru sertizat cabluri de retea in priza sau patchpanel, KRONE ISDN-0018",7.50
"Baterie CR1220, 3V, Lithium, Varta VAR-1220",7.50
"Adaptor HDMI mama la HDMI tata, cu rotire, ZLA0852",7.50
"Cablu de alimentare si date, 1.8m, negru, SPDC-MICRO-PVC-BK-1.8",7.50
"Adaptor HDMI tata si mama ZLA0666, unghi 90°, negru",7.50
Pigtail Single Mode 1M conector SC,7.60
"Cablu HDMI 1.4 19p cu transmisie Internet si video 4K, lungime 1.5m, HDMI-ETHERNET-1.5M",8.00
"Patchcord S/FTP Cat 6A, 3 Metri, Galben, SFTP6A-3M-Y, SAFER",8.30
"Patchcord S/FTP Cat 6A, 3 Metri, Rosu , SFTP6A-3M-R, SAFER",8.30
"Patchcord S/FTP Cat 6A, 3 Metri, Gri , SFTP6A-3M, SAFER",8.30
"Patchcord S/FTP Cat 6A, 3 Metri, Verde, Safer SFTP6A-3M-G",8.30
Priza simpla aplicata UTP CAT5e regleta Krone GEMBIRD,8.40
Priza simpla aplicata UTP CAT6 GEMBIRD,8.40
"Adaptor HDMI tata la DVI mama 24+1, ZLA0618",8.50
"Splitter auto, 2 sloturi, 10A, 12V, carcasa ABS, ZLA 0419",9.00
"Intinzatoare spirala pentru cablu fibra optica, BGH-4.9-5.6",9.00
Priza simpla aplicata FTP CAT5e regleta Krone GEMBIRD,9.40
"Patchcord Single Mode 1M SC/UPC-SC/UPC, PC-SC/SC-1",9.44
"Cablu HDMI 1.4 19p ecranat, 1.5m, HDMI-ECRANAT-1.5M",9.50
Priza simpla aplicata FTP CAT6 regleta Krone GEMBIRD,9.90
"Modul RJ45 neecranat, Cat.5e, TOOLLESS LINE, Schrack HSEMRJ5UWS",11.00
Patchcord retea CAT5 1M Verde SP-PT-CAT5-1M-G,12.00
"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10",12.37
"Patchcord S/FTP Cat 6A, 5 Metri, Albastru , SFTP6A-5M-B, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Negru , SFTP6A-5M-BL, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Rosu , SFTP6A-5M-R, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Galben , SFTP6A-5M-Y, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Gri , SFTP6A-5M, SAFER",12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Verde , SFTP6A-5M-G, SAFER",12.39
Priza dubla aplicata UTP CAT6 regleta Krone GEMBIRD,12.90
Priza dubla aplicata UTP CAT5e regleta Krone GEMBIRD,12.90
Conector mecanic fibra optica SM SC/UPC,13.00
