Product,Price
"Eticheta pentru detectori de fum Teknim, TFA-0121",2.30
"Protectie transparenta pentru buton de incendiu, TEKNIM TFA-0165",3.93
"Capac pentru buton de incendiu Inim EC0020 / IC0020, WCP0020",6.40
"Soclu pentru detectori adresabili sau conventionali TEKNIM, TFA-0120",8.00
"Doza de montaj module antiincendiu, Bentel, FC470DGB",9.00
"Baza de montare pentru detectori Inim Enea si Iris, EB0030, 4 intrari, pentru teava de 16 mm",9.77
"Baza pentru detectori adresabili si conventionali Teknim TFA-0120A, culoare antracit",11.00
"Rezerva de plastic deformabila, compatibila cu butoanele din seria FC400, FC400RD",12.00
Soclu pentru detectorii adresabili si conventionali Inim EB0010,13.00
"Soclu pentru relee RS/PT5, 24V, terminale cu surub, 14 poli, 10A, Schrack, YRS50004",13.00
Indicator optic pentru senzori de fum montati in tavan casetat RI31,14.00
Soclu detector adresabil Detnov Z-200,14.00
"Soclu standard pentru detectorii conventionali Unipos, DB8000",14.20
"Soclu universal pentru senzori FIRECLASS, 5B",15.00
"Soclu izolator standard Fireclass, FC4B",15.00
"Capac pentru doza de montaj module centrala de incendiu, FC470CV",16.00
"Baza pentru montaj aparent buton Morley-IAS, culoare rosie - Honeywell PS031W",16.49
Soclu pentru detectori Morley-IAS - Honeywell MI-B501AP-IV,19.79
"Sticla butoane alarmare incendiu, set de 10 buc. Morley-IAS - Honeywell MUS156",21.99
DOZA BUTON ADRESABIL FC420CPB,23.00
"Releu PT 6A 4C 24VDC, Schrack, PT570024",23.00
"Detector gradient de temperatura UNIPOS, FD8020",26.00
Buton de incendiu conventional ROSU SIR EM200RS,26.25
"Soclu detectori adresabili Unipos, DB7100",28.00
"Detector de prag fix de temperatura, Unipos 8010",29.00
"Indicator LED pentru alarme de incendiu, LED rosu, 10-32VDC, IP30, TEKNIM TFA-1196",30.00
"Soclu cu iesire pe releu pentru detector de fum Unipos, DB8000R",32.00
Indicator acustic pentru senzori montati in tavan Unipos RI31S,33.00
Indicator luminos pentru sisteme adresabile Inim IL0010,33.00
"Adaptor montaj aparent detectoare Morley-IAS, orificiu 22mm, 1 buc, culoare Ivory - Honeywell SMK400EAP-IV",34.09
"Detector de fum, conventional, optic, TEKNIM, TFD-4230",35.00
"Baza pentru detectoare wireless Morley-IAS, culoare alb - Honeywell B501RF",35.19
"Baza pentru detectoare wireless Morley-IAS, culoare rosu - Honeywell B501RF-RR",35.19
"Senzor de fum Standalone SD218, baterie 9V",36.00
"Corp iluminat de urgenta cu LED, 3W, 80lm/160lm, lumina rece (6400K), cu baterie Li-Ion 3,7V, 1000mAh, IP20, 2 pictograme, Vivalux VIV004032",36.00
"Detector de fum optic Unipos, FD8030",38.00
Lampa Emergenta EXIT JOS LED 3W cu acumulator BR-BC14-00753,38.00
"Buton de incendiu conventional, indicator LED, NC/NO, rezistenta interna 470 Ohmi, TEKNIM TFB-3167",38.00
"Buton de incendiu conventional, resetabil, TEKNIM, TFB-3165",38.00
"Releu DPDT, 8A, 24VDC, 40 Finder 40.52.9.024.000",39.00
Indicator paralel detectoarele Morley-IAS - Honeywell INDICATOR,39.58
"Lampa de semnalizare Detnov PAD-10, LED, IP42",40.00
"Sursa de alimentare in comutatie 24V 5A, Safer SAF-39PA",40.14
"Tub de prelevare 12"" cu gauri pentru DNRE, Morley-IAS - Honeywell DST1",40.68
"Buton de incendiu conventional resetabil, 5-30VDC, Contact NC/NO, IP30, albastru, TEKNIM TFB-3165B",42.00
Detector de fum stand alone 85dB/m baterie 9V inclusa,42.00
"Buton de incendiu conventional, NO/NC, 5-30VDC, rezistenta interna 470 ohmi, TEKNIM, TFB-3165Y",42.00
"Lampa Emergenta EXIT DREAPTA/STANGA LED 3W cu acumulator, BR-BC14-00653",44.00
"Detector combinat de fum si caldura, optic, conventional, Teknim, TFD-4250",44.00
"Buton de incendiu conventional rosu cu sticla Unipos, FD3050",44.00
"Soclu izolator Fireclass, FC4B-I",46.00
Detector de fum conventional cu soclu inclus universal SD119-2,46.00
"Lampa Emergenta EXIT LED 3W cu acumulator, BR-BC14-00553",46.00
"Lampa de semnalizare cu stroboscop, LED ROSU, FIRECLASS, RILED",47.00
"Carcasa din plastic IP65 pentru instalarea modulelor Inim, FBOX100",48.00
"Baza cu adancime mica - rosie, set de 5 buc. - Honeywell CSR",49.48
"Detector de temperatura si fum conventional TEKNIM, TFD-3250",52.00
Cutie montaj modul I/O Morley-IAS - Honeywell M200E-SMB,52.78
"Detector de caldura wireless X-Sense XH02-M, alarma 85dB, control din aplicatie, compatibil cu centrala SBS50",54.00
"Baza incastrata pentru echipamentele AV, cu garnitura, montaj la exterior, culoare rosie, Morley-IAS - Honeywell WRR",54.98
"Detector temperatura si crestere temperatura, conventional, Fireclass 601HR",55.00
