Product,Price
Adaptor RCA tata la 2 RCA mama MONO,1.05
"Adaptor Jack 6.3 tata RCA mama MONO, ZLA0288",1.05
"Adaptor Jack 3.5 tata la 2 x Jack 3.5 mama STEREO, ZLA0293",1.26
Adaptor RCA mama la 2 X RCA mama MONO,1.90
"Adaptor Jack 6.3 Tata la Jack 3.5 Mama Stereo, ZLA0324",4.10
"Cablu adaptor Jack 6,3 tata la Jack 3.5 Mama, Stereo, A-63M35F-0.2M",5.90
"CABLU audio Jack 3.5 Tata la 2 RCA mama, Stereo, CCAP-RCAM2F-0.2M",6.90
"Cablu 2RCA/2RCA Gold 3M, CA3RR",8.30
"Cablu audio 3 metri 2 RCA Tata la 2 RCA Tata, KPO4001-3.0",8.50
"Adaptor Jack 6.3 Tata - XRL Mama, ZLA0313-2",9.00
"Cablu audio 5 metrii 2 RCA Tata la 2 RCA Tata, KPO4001-5.0",10.50
"Cablu audio 5M Jack 3.5 Tata la 2 RCA Tata Stereo, CA5JR",11.55
"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10",12.37
"Cablu microfon XLR mama la Jack 6.3 tata 3 metri, KPO2757-3",24.00
"Cablu pentru microfon, XLR Mama, Jack 6.3 Tata, 5M, KPO2757-5",30.00
"Cablu audio 3M 2 RCA Tata la 2 XLR Tata Stereo, CM3RX-2",31.00
"Cablu audio XLR Mama - XLR Tata, lungime 5 metri, Negru, CM5XXF",35.00
Set boxe lemn 6W (2X3W) alimentare prin USB Spacer SPSK-201-WD,35.00
"Cablu audio 3M 2 RCA la 2 Jack 6.3 Mono, CM3RJ-2",37.80
"Boxa incastrabila pentru tavan, 13 cm, 6 W, 89 dB, Power Dynamics, CSPB5",41.55
"Cablu difuzor speakon/speakon 5 metri, CS5SS",47.00
"Cablu audio 10M XLR Tata la XLR Mama, CM10XXF",49.00
"Microfon lavaliera, cu cablu, Intrare Jack 3.5mm, clema de prindere, OPMLLCB",53.00
Set boxe PC 2.1 6W + 5W SPACER - SPB-807 Negre,54.00
Set boxe PC 2.1 6W + 5W SPACER - SPB-807 Albe,54.00
"Cablu audio Speakon tata - Jack 6.35 tata, lungime 10 m, negru, KPO2759-10",56.00
"Difuzor incastrat 100V, 10W, 6.5"" CSPB6",58.00
"Microfon audio DM 604, cablu XLR - Jack 6.3, 600 Ohm, MIK0003 Rebel",65.00
"Cablu difuzor jack/speakon 10 metri, CS10JS",65.99
"Cablu difuzor speakon/speakon 10 metri, CS10SS",72.45
"Potentiometru volum 30W, PA 100V, VC30R BST Pro AR30",73.50
Cablu 10 m cu conector de tip m12 Autone ATE-AVIA/AVIA-10M,79.00
"Difuzor PA 100V incastrabil tavan, 15W, 8 ohm, 91 dB, VoiceKraft, VK 611 SW",80.00
"Megafon 20W, cu acumulator reincarcabil, functie de inregistrare, MEGA20W",80.00
"Microfon unidirectional 400 Ohm, cablu XLR inclus, BST MDX50",85.00
"Microfon cu trepied, reglabil, jack 3.5mm, cablu 1,8m, VARR VGMM",87.00
"Kit microfon gaming, filtru cos trepied VARR, VGMSB",90.00
"Cablu difuzor jack/speakon 15 metri, CS15JS",90.79
Microfon conferinta cu stativ pentru anunturi MH35A,92.00
"Microfon dinamic 74dB Rebel, MIK0004",95.00
"Microfon dinamic, 74dB, 600 Ohmi, cablu 5m, XLR, REBEL MIK0002",96.00
RECEIVER audio bluetooth TP-LINK HA100,106.00
"Cablu difuzor speakon/speakon 15 metri, CS15SS",109.00
"Microfon USB, cu trepied si filtru REBEL, KOM1052",110.00
"Potentiometru pentru volum compatibil cu sistemele Public Adress 100V, PDVC100",112.00
"Difuzor de tavan 6W, rezistent la foc DSSPA, DSP602",112.00
"Boxa de perete 10W,100/70V, 160Hz-18000Hz, terminale 3W /6W /10W DSPA106II",120.00
"Microfon pentru sisteme de conferinta, Profesional, Pozitie Reglabila, Cablu XLR inclus, BST GM20",120.00
"Potentiometru volum pentru sisteme audio PA 100V, 50W, 952.570",122.00
Microfon conferinta cu stativ pentru anunturi MH805,125.00
"Difuzor incastrat 100V, 15W, 8"" CSPB8 Power Dynamics",129.00
"Difuzor incastrabil tavan 6.5 inch 2 căi, 100V, 30W, CSAG6T",129.00
"Cablu difuzor speakon/speakon 20 metri, CS20SS",134.00
"Difuzor 30W, Public Adress, pentru amplificatoare de linie 100V, BST PROAP1410",135.00
"Difuzor incastrabil in tavan, 100V, 2 cai, 20W RMS, 5.25"", alb, Power Dynamics, NCSP5 (952.604)",140.00
"Boxa tavan incastrabila, 10W, 100V, SAL, CES3",148.00
"Kit microfon wireless, cu un microfon + o lavaliera wireless MS-106V/HB",160.00
"Proiector de sunet 6 inch / 15 cm 20W IP65, AP2320",169.00
"Difuzor LTC 80W pentru exterior, rezistent la apa, 4 Ohm, 147 diam. x 74mm, Swr5004",170.00
"Difuzor incastrabil in tavan Power Dynamics FCS5, 100V, RMS 20W, 5.25"", 80W",175.00
"Mixer pentru 2 canale, crossfader, usb, Bluetooth, 2x Line IN, Ibiza Sound MIX500BT",181.00
"Difuzor incastrabil tavan 8 inch 2 căi, 100V, 40W, CSAG8T",182.00
Microfon lavaliera wireless Azusa,188.99
"Proiector sunet 6.5 inch, 8ohm, 20W, Power Dynamics PSP6",193.00
Suport reglabil pentru laptop si mixer,197.15
"Mixer 2 canale, 200mW, Bluetooth, USB, RCA, MP3, intrare microfon, VONYX STM500BT",203.00
"Set boxe 100V - 20W Negru pentru perete, BC30V",209.00
"Difuzor LTC 120W pentru exterior, rezistent la apa, 4 Ohm, 6""/16CM-120W, SWR6004",210.00
MICROFON CONFERINTA STATIV 80CM,213.00
Microfon wireless de mana Ibiza VHF1A,219.45
"Boxa de gradina PA 100V, 30W, Protectie IP45, culoare verde - camuflabila, GS530",219.89
Difuzor Public Adress suspendat 6W 100V ITC T-200,228.00
"Cablu boxe 80V, 2 x 2.50mm, Rola 100m, Cabletech KAB0360",247.00
"Interfon audio bidirectional pentru ghiseu, ZDL-9908",248.00
"Mixer audio 4 cai / 7 canale, Ibiza, DJ21USB-MKII",248.00
Difuzor suspendat tavan public adress 6W TOA PE-64,249.00
"MIXER USB DJ CU FUNCTIE BLUETOOTH, 7 Canale, DJ21USB-BT",270.00
Set boxe lemn 2x10W (20W) Genius SP-HF800A II,275.00
Plafoniera RGB cu boxa bluetooth incorporata 28W Offdarks LXD-XG36-SP,279.00
Microfon de studio profesional BST,283.00
"Cablu pentru difuzor, 2x2.5mmp, rola 100m, CCA transparent, Goobay-3048",283.00
"Goarna pentru exterior Power Dynamics HSR30, 30W, carcasa ABS, IPX6",294.00
"Difuzor de perete Public Adress 70 sau 100V, 20W, Negru, cu suport, 8 ohm DSPPA DSP8062BK",297.00
"Goarnă de exterior, 100V, 40W, Power Dynamics, HS40",307.00
"Boxe Edifier R1010BT-BK, Bluetooth V5.1, 24W RMS total, 85dB (A), 2X RCA, finisaj de lemn",311.99
"Set 2 microfoane wireless + receptor VHF Rebel, MIK0141",317.00
"Boxa de perete public adress 30W RMS alb, DSP8063W",320.00
"Amplificator pentru Karaoke USB / SD / AUX / LINE / BLUETOOTH / MP3, JACK 6.3, 2x50W, LTC ATM2000USB-BT",321.00
"Boxa bluetooth portabila cu power bank, Kruger Matz Explorer, AUX in, Card, USB, KM0552",325.00
Difuzor Public Adress suspendat 15W 100V ITC T-200DW,330.00
"Boxa de perete PA 100V, 80Hz-20kHz, 30W DSP8063B",330.00
"Set de 2 boxe Power Dynamics BC40V, 100V/8ohm, 30W RMS, interior/exterior, alb",335.00
Set boxe 2.0 24W Edifer R1000T4 Maro,341.00
