Product,Price
Buton de iesire din plastic PBK-812A,12.99
"Buton de iesire, aplicabil din otel inoxidabil, NO/COM, SECUKEY Cbutton 2",16.99
"Buton iesire urgenta, rosu, aparent, ACM-K3R",16.99
"Buton de iesire aplicabil din otel inoxidabil, NO/COM SECUKEY Cbutton 4",22.99
"Buton aplicat verde pentru iesiri de urgenta, CPK-860A",24.99
"Buton de iesire, aplicabil, aluminiu, NO/COM, SECUKEY Cbutton 3",24.99
"Buton de iesire incastrabil, din inox, PBK-811A",25.99
"Buton de iesire aplicabil din otel inoxidabil, NO/COM, SECUKEY Cbutton 1",27.99
Carcasa pentru montarea aplicata a butoanelor PBK-800A,30.99
Set 10 bucati cu sticla de rezerva pentru modele CPK-860,34.99
"Buton de iesire urgenta, SECUKEY Sbutton 10",36.99
"Buton de iesire aplicabil, PBK-815",36.99
"Buton de iesire, aplicabil, aluminiu, NO/COM, SECUKEY Cbutton 5",39.99
"Buton de iesire fara atingere, senzor infrarosu, LED de stare, montaj incastrat, din aluminiu, Sebury NBT-006",41.99
"Buton de iesire incastrabil, din duraluminiu PBK-800A",41.99
"Buton de iesire, aplicabil, aluminiu, NBT-001",41.99
"Buton de iesire cu contact de tip NO / COM, 5-36V, Carcasa din Zinc, Argintiu, Sebury NBT-009",41.99
"Buton de iesire cu contact de iesire de tip NO, 36V-3A, carcasa din aliaj de aluminiu, Sebury NBT-002",42.99
"Buton de iesire cu infrarosu fara atingere, Indicator stare LED, Otel inoxidabil, NO/NC/COM, SECUKEY Cbutton 6",42.99
"Buton de iesire incastrabil din inox, BD-EB08",43.99
"Buton de iesire iluminat, FARA ATINGERE, detectie cu IR, 12V 3A, NO/NC/COM, carcasa din otel inoxidabil, Sebury NBT-005",44.99
"Buton de iesire incastrabil, inox, PBK-810C",45.99
"Buton de iesire incastrabil, din inox, led de stare VERDE, PBK-811A(LED)",46.99
"Buton de iesire incastrabil, din inox, led de stare ROSU, PBK-811A(LED)",46.99
"Buton de iesire incastrabil, din inox, led de stare Albastru, PBK-811A(LED)",46.99
"Buton de iesire aplicabil, pentru exterior, SMB-S001",49.99
"Buton de iesire wireless, SECUKEY Wbutton 1",53.52
"Buton de iesire, LED de semnalizare, montaj aplicat, IP56, aliaj de zinc, NO-COM, SMB-S001L",59.99
"Buton de iesire cu infrarosu fara atingere, Indicator stare LED, NO/NC/COM, SECUKEY Cbutton 7",59.99
"Buton de incendiu conventional cu geam de sticla si fara capac, Tane SM-108",59.99
"Buton de iesire cu touch, SECUKEY Sbutton 8",62.99
"Buton de iesire cu touch, SECUKEY Sbutton 9",62.99
"Buton iesire de urgenta aplicabil, cu 3 comutatoare NC-COM-NO, SCP-100-gn",65.99
"Buton de iesire aplicabil din aliaj de zinc cu LED de semnalizare albastru, IP67, SMB-S001(LED)-bl",69.99
"Buton de iesire aplicabil din aliaj de zinc cu LED de semnalizare verde, SMB-S001(LED)-gn",69.99
"Buton de iesire aplicabil din aliaj de zinc cu LED de semnalizare rosu, SMB-S001(LED)-rd",69.99
Buton de iesire cu infrarosu,87.99
"Buton de iesire incastrabil cu infrarosu si temporizare, index de protectie IP66, LED de stare, SECUKEY, Ebutton 1-X",89.99
"Buton de iesire incastrabil cu infrarosu si temporizare, index de protectie IP66, LED de stare, SECUKEY, Ebutton 2-X",92.99
"Buton aplicabil cu cheie, sistem revenire automata, contact de tip NO si NC, 16A 240V, pentru interior, negru, YKS-803D2",95.99
"Buton aplicabil cu cheie, sistem revenire automata, contact de tip NO si NC, 16A 240V, pentru interior, Alb YKS-803D1-WH",106.99
"Buton de iesire aplicabil, infrarosu si temporizare, LED de stare bicolor, K40B-W",109.99
"Buton de iesire cu Bluetooth, aplicatie mobila, 86x86x12, Sebury S-PAD-BT",114.99
"Buton de iesire cu senzor, IP66, SECUKEY Sbutton 100",119.99
"Buton de iesire pentru exterior cu infrarosu, fara atingere, carcasa din aluminiu, 73x20mm, LED stare, 3-10 cm, Secukey Sbutton 100-X",129.99
"Buton de iesire pentru persoane cu dizabilitati, LED bicolor, NO-COM-NC, PBK-871(LED)",145.99
