SKU,Name,Price,Discount,Price Difference
TM-CASH-WR,Terminal de plata automat - plata cu monede / bacnote sau card TM-CASH-WR,99999.99,95500.0,4499.990000000005
FHT2300-316,"Turnichet de acces bidirectional, rotativ, otel rezistent la coroziune, ZKTeco, FHT2300-316",45679.99,41527.0,4152.989999999998
TPC-SD2241-TB7F8-S2,"Speed Dome IP cu senzor termic si normal, 2K 4MP, lentila termica de 7mm, normala de 8mm, IR 50m, Audio, Dahua TPC-SD2241-TB7F8-S2",7068.99,4948.0,2120.99
KITAJAX2G-CAMEXT-SD,"Pachet cu sistem de alarma AJAX Hibrid, 100 zone, GSM, Camera IP exterior IMOU si card microSD GRATUIT, KITAJAX2G-CAMEXT-SD",4298.99,2324.99,1974.0
KITAJAX2G-CAMEXT-SD,"Pachet cu sistem de alarma AJAX Hibrid, 100 zone, GSM, Camera IP exterior IMOU si card microSD GRATUIT, KITAJAX2G-CAMEXT-SD",4298.99,2324.99,1974.0
KITAJAX2G-CAM4MP-SD,"Kit sistem de alarma AJAX fibra, SIM 2G, 100 zone + o camera Ranger IMOU si card microSD IMOU, KITAJAX2G-CAM4MP-SD",4182.99,2224.99,1958.0
SV10KW-3F-ON-C,"Sistem de alimentare cu energie solara, 10KW, Trifazat, ON-GRID, Montaj pe acoperis de tigla SV10KW-3F-ON-C",30808.84,29063.75,1745.0900000000001
KIT-DAHUA16-5MPLED40,"Pachet cu sistem de supraveghere compus din 16 camere cu microfon Dahua Full Color, 5MP, si DVR cu AI, KIT-DAHUA16-5MPLED40",6646.99,4917.99,1729.0
KIT-DAHUA16-5MPLED40,"Pachet cu sistem de supraveghere compus din 16 camere cu microfon Dahua Full Color, 5MP, si DVR cu AI, KIT-DAHUA16-5MPLED40",6646.99,4917.99,1729.0
MIX10COMUNELLO,Pachet 10 automatizari Comunello MIX 10,18637.99,16935.99,1702.0
MIX10COMUNELLO,Pachet 10 automatizari Comunello MIX 10,18637.99,16935.99,1702.0
TFP-2134,"Centrala detectie incendiu adresabila, 4 bucle, 508 dispozitive, indicator de zona, imprimanta incorporata, TEKNIM TFP-2134",9879.99,8234.0,1645.9899999999998
IFX86,"Monitor interactiv 4K UHD, diagonala 86"" (218.44cm), Wi-Fi 5, 2x difuzor, HDMI, VGA, USB, RS232, Vestel IFX86",9109.99,7511.0,1598.9899999999998
TFP-2132,"Centrala detectie incendiu adresabila, 2 bucle, 480 dispozitive, indicator de zona, imprimanta incorporata, TEKNIM TFP-2132",8764.99,7305.0,1459.9899999999998
DS-K3BC411X-M-Dm110,"Poarta batanta pentru acces persoane, cititor mifare, brat otel, latime banda 1100mm, Hikvision, DS-K3BC411X-M-Dm110",12843.99,11467.0,1376.9899999999998
TFP-2131,"Centrala detectie incendiu adresabila, 1 bucla, 204 dispozitive, indicator de zona, imprimanta incorporata, TEKNIM TFP-2131",8208.99,6840.0,1368.9899999999998
HubHybrid(2G),"Centrala de alarma Ajax Hibrida, Compatibila cu senzorii Fibra si cu cei wireless, SIM 2G, 100 Zone, Backup, HubHybrid(2G)",2784.99,1422.82,1362.1699999999998
S-PREVIDIA-C200LG,Centrala adresabila cu 2 bucle - 240 elemente INIM Previdia C200LG,4699.99,3340.0,1359.9899999999998
TKNWIFI20X,"Pachet sistem de detectie la incendiu Teknim, Wireless, 20 senzori si accesorii",12747.99,11421.99,1326.0
KITIP-8X-4MP2830POE,"Kit de supraveghere IP, 8 camere exterior 4MP, 2.8mm, IR 30 metri si NVR 8 canale, KITIP-8X-4MP2830POE",2982.99,1687.99,1294.9999999999998
XVR7816S-4K-I3,"XVR WizSense 16 canale Pentabrid Dahua XVR7816S-4K-I3, 4K 2U, 8 sloturi SATA, Audio, latime de banda 128Mbps",5760.99,4480.0,1280.9899999999998
